"Topic","Description","Year","Value","Units","Geography"
"Population","Total Population","1850","3,540","People","Somerville"
"Population","Total Population","1860","8,025","People","Somerville"
"Population","Total Population","1870","14,685","People","Somerville"
"Population","Total Population","1880","24,933","People","Somerville"
"Population","Total Population","1890","40,152","People","Somerville"
"Population","Total Population","1900","61,643","People","Somerville"
"Population","Total Population","1910","77,236","People","Somerville"
"Population","Total Population","1920","93,091","People","Somerville"
"Population","Total Population","1930","103,908","People","Somerville"
"Population","Total Population","1940","102,177","People","Somerville"
"Population","Total Population","1950","102,351","People","Somerville"
"Population","Total Population","1960","94,697","People","Somerville"
"Population","Total Population","1970","88,779","People","Somerville"
"Population","Total Population","1980","77,372","People","Somerville"
"Population","Total Population","1990","76,210","People","Somerville"
"Population","Total Population","2000","77,478","People","Somerville"
"Population","Total Population","2010","75,754","People","Somerville"
"Population","Total Population","2011","75,566","People","Somerville"
"Population","Total Population","2012","75,974","People","Somerville"
"Population","Total Population","2013","76,945","People","Somerville"
"Population","Total Population","2014","77,560","People","Somerville"
"Population","Total Population","2015","78,595","People","Somerville"
"Population","Total Population","2016","79,507","People","Somerville"
"Population","Total Population","2017","79,983","People","Somerville"
"Population","Total Population","2018","80,434","People","Somerville"
"Population","Total Population","2019","80,906","People","Somerville"
"Population","Total Population","2020","81,175","People","Somerville"
"Population","Total Population","2021","80,608","People","Somerville"
"Population","Total Population","2022","80,464","People","Somerville"
"Population","Total Population","2023","80,549","People","Somerville"
"Population","Total Population","2024","81,036","People","Somerville"
"Age Group","Under 5 years","2024","3.8","Percent","Somerville"
"Age Group","5 to 9 years","2024","2.4","Percent","Somerville"
"Age Group","10 to 14 years","2024","2.3","Percent","Somerville"
"Age Group","15 to 19 years","2024","4","Percent","Somerville"
"Age Group","20 to 24 years","2024","11.3","Percent","Somerville"
"Age Group","25 to 29 years","2024","20.1","Percent","Somerville"
"Age Group","30 to 34 years","2024","13.9","Percent","Somerville"
"Age Group","35 to 39 years","2024","9.3","Percent","Somerville"
"Age Group","40 to 44 years","2024","6","Percent","Somerville"
"Age Group","45 to 49 years","2024","4.7","Percent","Somerville"
"Age Group","50 to 54 years","2024","4.3","Percent","Somerville"
"Age Group","55 to 59 years","2024","4.2","Percent","Somerville"
"Age Group","60 to 64 years","2024","3.7","Percent","Somerville"
"Age Group","65 to 69 years","2024","3.5","Percent","Somerville"
"Age Group","70 to 74 years","2024","2.8","Percent","Somerville"
"Age Group","75 to 79 years","2024","1.9","Percent","Somerville"
