address,street,school,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"Adrian Street, Somerville MA 02143","Adrian Street",ARGENZIANO,42.377331,-71.09872,1,street_center,"Adrian St",,"Somerville, MA 02143",,,"Adrian St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_ussx9k5mrffak3x6,
"Aldersey Street, Somerville MA 02143","Aldersey Street",ARGENZIANO,42.383201,-71.096672,1,street_center,"Aldersey St",,"Somerville, MA 02143",,,"Aldersey St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usssbjcvnmmt28e8,
"Allen Court, Somerville MA 02143","Allen Court",ARGENZIANO,42.382123,-71.107091,1,street_center,"Allen Ct",,"Somerville, MA 02143",,,"Allen Ct",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_uss8egy7kjvqm5rd,
"Allen Street, Somerville MA 02143","Allen Street",ARGENZIANO,42.377801,-71.093194,1,street_center,"Allen St",,"Somerville, MA 02143",,,"Allen St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usskfad7c3vu3f89,
"Arnold Court, Somerville MA 02143","Arnold Court",ARGENZIANO,42.380042,-71.108217,1,street_center,"Arnold Ct",,"Somerville, MA 02143",,,"Arnold Ct",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usstadx52prxrbje,
"Avon Street, Somerville MA 02143","Avon Street",ARGENZIANO,42.385823,-71.102556,1,street_center,"Avon St",,"Somerville, MA 02143",,,"Avon St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_ussrnpefs95e2dn6,
"Beacon Place, Somerville MA 02143","Beacon Place",ARGENZIANO,42.377638,-71.10509,1,street_center,"Beacon Pl",,"Somerville, MA 02143",,,"Beacon Pl",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usstlh9cwvahchd2,
"Beacon Street 1-235, Somerville MA 02143","Beacon Street 1-235",ARGENZIANO,42.379419,-71.081588,0.9,street_center,"1st Ave",,"Somerville, MA 02143",,,"1st Ave",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_uss8zusvt5nxq8ra,
"Bedford Street, Somerville MA 02143","Bedford Street",ARGENZIANO,42.373721,-71.088615,1,street_center,"Bedford St",,"Somerville, MA 02143",,,"Bedford St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_ussqnc429lj63ynh,
"Beech Street, Somerville MA 02143","Beech Street",ARGENZIANO,42.383815,-71.107855,1,street_center,"Beech St",,"Somerville, MA 02143",,,"Beech St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_ussvz386wvfvb67h,
