address,street,num,school,range_low,range_high
"1 Adrian Street, Somerville MA",Adrian Street,1,ARGENZIANO,1,99
"26 Adrian Street, Somerville MA",Adrian Street,26,ARGENZIANO,1,99
"50 Adrian Street, Somerville MA",Adrian Street,50,ARGENZIANO,1,99
"74 Adrian Street, Somerville MA",Adrian Street,74,ARGENZIANO,1,99
"1 Aldersey Street, Somerville MA",Aldersey Street,1,ARGENZIANO,1,99
"26 Aldersey Street, Somerville MA",Aldersey Street,26,ARGENZIANO,1,99
"50 Aldersey Street, Somerville MA",Aldersey Street,50,ARGENZIANO,1,99
"74 Aldersey Street, Somerville MA",Aldersey Street,74,ARGENZIANO,1,99
"1 Allen Court, Somerville MA",Allen Court,1,ARGENZIANO,1,99
"26 Allen Court, Somerville MA",Allen Court,26,ARGENZIANO,1,99
"50 Allen Court, Somerville MA",Allen Court,50,ARGENZIANO,1,99
"74 Allen Court, Somerville MA",Allen Court,74,ARGENZIANO,1,99
"1 Allen Street, Somerville MA",Allen Street,1,ARGENZIANO,1,99
"26 Allen Street, Somerville MA",Allen Street,26,ARGENZIANO,1,99
"50 Allen Street, Somerville MA",Allen Street,50,ARGENZIANO,1,99
"74 Allen Street, Somerville MA",Allen Street,74,ARGENZIANO,1,99
"1 Arnold Court, Somerville MA",Arnold Court,1,ARGENZIANO,1,99
"26 Arnold Court, Somerville MA",Arnold Court,26,ARGENZIANO,1,99
"50 Arnold Court, Somerville MA",Arnold Court,50,ARGENZIANO,1,99
"74 Arnold Court, Somerville MA",Arnold Court,74,ARGENZIANO,1,99
"1 Avon Street, Somerville MA",Avon Street,1,ARGENZIANO,1,99
"26 Avon Street, Somerville MA",Avon Street,26,ARGENZIANO,1,99
"50 Avon Street, Somerville MA",Avon Street,50,ARGENZIANO,1,99
"74 Avon Street, Somerville MA",Avon Street,74,ARGENZIANO,1,99
"1 Beacon Place, Somerville MA",Beacon Place,1,ARGENZIANO,1,199
"34 Beacon Place, Somerville MA",Beacon Place,34,ARGENZIANO,1,199
"67 Beacon Place, Somerville MA",Beacon Place,67,ARGENZIANO,1,199
"100 Beacon Place, Somerville MA",Beacon Place,100,ARGENZIANO,1,199
"133 Beacon Place, Somerville MA",Beacon Place,133,ARGENZIANO,1,199
"166 Beacon Place, Somerville MA",Beacon Place,166,ARGENZIANO,1,199
"1 Bedford Street, Somerville MA",Bedford Street,1,ARGENZIANO,1,99
"26 Bedford Street, Somerville MA",Bedford Street,26,ARGENZIANO,1,99
"50 Bedford Street, Somerville MA",Bedford Street,50,ARGENZIANO,1,99
"74 Bedford Street, Somerville MA",Bedford Street,74,ARGENZIANO,1,99
"1 Beech Street, Somerville MA",Beech Street,1,ARGENZIANO,1,99
"26 Beech Street, Somerville MA",Beech Street,26,ARGENZIANO,1,99
"50 Beech Street, Somerville MA",Beech Street,50,ARGENZIANO,1,99
"74 Beech Street, Somerville MA",Beech Street,74,ARGENZIANO,1,99
"1 Berkeley Street, Somerville MA",Berkeley Street,1,ARGENZIANO,1,99
"26 Berkeley Street, Somerville MA",Berkeley Street,26,ARGENZIANO,1,99
"50 Berkeley Street, Somerville MA",Berkeley Street,50,ARGENZIANO,1,99
"74 Berkeley Street, Somerville MA",Berkeley Street,74,ARGENZIANO,1,99
"1 Bigelow Street, Somerville MA",Bigelow Street,1,ARGENZIANO,1,99
"26 Bigelow Street, Somerville MA",Bigelow Street,26,ARGENZIANO,1,99
"50 Bigelow Street, Somerville MA",Bigelow Street,50,ARGENZIANO,1,99
"74 Bigelow Street, Somerville MA",Bigelow Street,74,ARGENZIANO,1,99
"1 Bolton Street, Somerville MA",Bolton Street,1,ARGENZIANO,1,99
"26 Bolton Street, Somerville MA",Bolton Street,26,ARGENZIANO,1,99
"50 Bolton Street, Somerville MA",Bolton Street,50,ARGENZIANO,1,99
"74 Bolton Street, Somerville MA",Bolton Street,74,ARGENZIANO,1,99
"1 Bonner Avenue, Somerville MA",Bonner Avenue,1,ARGENZIANO,1,99
"26 Bonner Avenue, Somerville MA",Bonner Avenue,26,ARGENZIANO,1,99
"50 Bonner Avenue, Somerville MA",Bonner Avenue,50,ARGENZIANO,1,99
"74 Bonner Avenue, Somerville MA",Bonner Avenue,74,ARGENZIANO,1,99
"1 Boston Street, Somerville MA",Boston Street,1,ARGENZIANO,1,99
"26 Boston Street, Somerville MA",Boston Street,26,ARGENZIANO,1,99
"50 Boston Street, Somerville MA",Boston Street,50,ARGENZIANO,1,99
"74 Boston Street, Somerville MA",Boston Street,74,ARGENZIANO,1,99
"1 Bow Street, Somerville MA",Bow Street,1,ARGENZIANO,1,99
"26 Bow Street, Somerville MA",Bow Street,26,ARGENZIANO,1,99
"50 Bow Street, Somerville MA",Bow Street,50,ARGENZIANO,1,99
"74 Bow Street, Somerville MA",Bow Street,74,ARGENZIANO,1,99
"1 Bow Street Place, Somerville MA",Bow Street Place,1,ARGENZIANO,1,99
"26 Bow Street Place, Somerville MA",Bow Street Place,26,ARGENZIANO,1,99
"50 Bow Street Place, Somerville MA",Bow Street Place,50,ARGENZIANO,1,99
"74 Bow Street Place, Somerville MA",Bow Street Place,74,ARGENZIANO,1,99
"1 Bowdoin Street, Somerville MA",Bowdoin Street,1,ARGENZIANO,1,99
"26 Bowdoin Street, Somerville MA",Bowdoin Street,26,ARGENZIANO,1,99
"50 Bowdoin Street, Somerville MA",Bowdoin Street,50,ARGENZIANO,1,99
"74 Bowdoin Street, Somerville MA",Bowdoin Street,74,ARGENZIANO,1,99
"1 Buckingham Street, Somerville MA",Buckingham Street,1,ARGENZIANO,1,99
"26 Buckingham Street, Somerville MA",Buckingham Street,26,ARGENZIANO,1,99
"50 Buckingham Street, Somerville MA",Buckingham Street,50,ARGENZIANO,1,99
"74 Buckingham Street, Somerville MA",Buckingham Street,74,ARGENZIANO,1,99
"1 Caldwell Avenue, Somerville MA",Caldwell Avenue,1,ARGENZIANO,1,99
"26 Caldwell Avenue, Somerville MA",Caldwell Avenue,26,ARGENZIANO,1,99
"50 Caldwell Avenue, Somerville MA",Caldwell Avenue,50,ARGENZIANO,1,99
"74 Caldwell Avenue, Somerville MA",Caldwell Avenue,74,ARGENZIANO,1,99
"1 Calvin Street, Somerville MA",Calvin Street,1,ARGENZIANO,1,99
"26 Calvin Street, Somerville MA",Calvin Street,26,ARGENZIANO,1,99
"50 Calvin Street, Somerville MA",Calvin Street,50,ARGENZIANO,1,99
"74 Calvin Street, Somerville MA",Calvin Street,74,ARGENZIANO,1,99
"1 Carlton Street, Somerville MA",Carlton Street,1,ARGENZIANO,1,99
"26 Carlton Street, Somerville MA",Carlton Street,26,ARGENZIANO,1,99
"50 Carlton Street, Somerville MA",Carlton Street,50,ARGENZIANO,1,99
"74 Carlton Street, Somerville MA",Carlton Street,74,ARGENZIANO,1,99
"1 Carter Terrace, Somerville MA",Carter Terrace,1,ARGENZIANO,1,99
"26 Carter Terrace, Somerville MA",Carter Terrace,26,ARGENZIANO,1,99
"50 Carter Terrace, Somerville MA",Carter Terrace,50,ARGENZIANO,1,99
"74 Carter Terrace, Somerville MA",Carter Terrace,74,ARGENZIANO,1,99
"1 Charlestown Street, Somerville MA",Charlestown Street,1,ARGENZIANO,1,198
"34 Charlestown Street, Somerville MA",Charlestown Street,34,ARGENZIANO,1,198
"67 Charlestown Street, Somerville MA",Charlestown Street,67,ARGENZIANO,1,198
"100 Charlestown Street, Somerville MA",Charlestown Street,100,ARGENZIANO,1,198
"132 Charlestown Street, Somerville MA",Charlestown Street,132,ARGENZIANO,1,198
"165 Charlestown Street, Somerville MA",Charlestown Street,165,ARGENZIANO,1,198
"1 Church Street, Somerville MA",Church Street,1,ARGENZIANO,1,99
"26 Church Street, Somerville MA",Church Street,26,ARGENZIANO,1,99
"50 Church Street, Somerville MA",Church Street,50,ARGENZIANO,1,99
"74 Church Street, Somerville MA",Church Street,74,ARGENZIANO,1,99
"1 Clark Street, Somerville MA",Clark Street,1,ARGENZIANO,1,99
"26 Clark Street, Somerville MA",Clark Street,26,ARGENZIANO,1,99
"50 Clark Street, Somerville MA",Clark Street,50,ARGENZIANO,1,99
"74 Clark Street, Somerville MA",Clark Street,74,ARGENZIANO,1,99
"1 Cleveland Street, Somerville MA",Cleveland Street,1,ARGENZIANO,1,99
"26 Cleveland Street, Somerville MA",Cleveland Street,26,ARGENZIANO,1,99
"50 Cleveland Street, Somerville MA",Cleveland Street,50,ARGENZIANO,1,99
"74 Cleveland Street, Somerville MA",Cleveland Street,74,ARGENZIANO,1,99
"1 Columbus Avenue, Somerville MA",Columbus Avenue,1,ARGENZIANO,1,99
"26 Columbus Avenue, Somerville MA",Columbus Avenue,26,ARGENZIANO,1,99
"50 Columbus Avenue, Somerville MA",Columbus Avenue,50,ARGENZIANO,1,99
"74 Columbus Avenue, Somerville MA",Columbus Avenue,74,ARGENZIANO,1,99
"1 Concord Avenue, Somerville MA",Concord Avenue,1,ARGENZIANO,1,199
"34 Concord Avenue, Somerville MA",Concord Avenue,34,ARGENZIANO,1,199
