address,street,num,school,range_low,range_high,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"1 Adrian Street, Somerville MA","Adrian Street",1,ARGENZIANO,1,99,42.377177,-71.10008,1,range_interpolation,"1 Adrian St",,"Somerville, MA 02143",,1,"Adrian St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnx9k5mrffak3x6fnwv2f2vjjvvg,
"26 Adrian Street, Somerville MA","Adrian Street",26,ARGENZIANO,1,99,42.377146,-71.098992,1,rooftop,"26 Adrian St",,"Somerville, MA 02143",,26,"Adrian St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnx9k5mrffak3x6uhktkccz6bxb7,building_centroid
"50 Adrian Street, Somerville MA","Adrian Street",50,ARGENZIANO,1,99,42.377156,-71.098949,1,range_interpolation,"50 Adrian St",,"Somerville, MA 02143",,50,"Adrian St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnx9k5mrffak3x6vpevte3cudj24,
"74 Adrian Street, Somerville MA","Adrian Street",74,ARGENZIANO,1,99,42.377296,-71.098384,1,range_interpolation,"74 Adrian St",,"Somerville, MA 02143",,74,"Adrian St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnx9k5mrffak3x6bj52ejc6sfq58,
"1 Aldersey Street, Somerville MA","Aldersey Street",1,ARGENZIANO,1,99,42.383068,-71.09587,1,rooftop,"1 Aldersey St",,"Somerville, MA 02143",,1,"Aldersey St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnsbjcvnmmt28e8wxr6tlpc3rlke,building_centroid
"26 Aldersey Street, Somerville MA","Aldersey Street",26,ARGENZIANO,1,99,42.383168,-71.096167,1,range_interpolation,"26 Aldersey St",,"Somerville, MA 02143",,26,"Aldersey St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnsbjcvnmmt28e8aqt7a8cqyhxdd,
"50 Aldersey Street, Somerville MA","Aldersey Street",50,ARGENZIANO,1,99,42.383335,-71.096603,1,range_interpolation,"50 Aldersey St",,"Somerville, MA 02143",,50,"Aldersey St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnsbjcvnmmt28e8wd6cpkdqnc36g,
"74 Aldersey Street, Somerville MA","Aldersey Street",74,ARGENZIANO,1,99,42.383505,-71.097034,1,range_interpolation,"74 Aldersey St",,"Somerville, MA 02143",,74,"Aldersey St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnsbjcvnmmt28e8su9d6eksbrby6,
"1 Allen Court, Somerville MA","Allen Court",1,ARGENZIANO,1,99,42.376897,-71.093295,0.95,range_interpolation,"1 Allen St",,"Somerville, MA 02143",,1,"Allen St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnkfad7c3vu3f89627qz2nvhhrle,
"26 Allen Court, Somerville MA","Allen Court",26,ARGENZIANO,1,99,42.382237,-71.106936,1,range_interpolation,"26 Allen Ct",,"Somerville, MA 02143",,26,"Allen Ct",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usn8egy7kjvqm5rdjj8vhutc2avjf,
"50 Allen Court, Somerville MA","Allen Court",50,ARGENZIANO,1,99,42.382268,-71.107052,1,range_interpolation,"50 Allen Ct",,"Somerville, MA 02143",,50,"Allen Ct",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usn8egy7kjvqm5rdpvnvplkg7lfwc,
