address,street,num,school
"6 Campbell Park Place, Somerville MA",Campbell Park Place,6,WEST SOMERVILLE
"14 Powder House Blvd, Somerville MA",Powder House Blvd,14,WEST SOMERVILLE
"50 Powder House Blvd, Somerville MA",Powder House Blvd,50,WEST SOMERVILLE
"85 Powder House Blvd, Somerville MA",Powder House Blvd,85,WEST SOMERVILLE
"121 Powder House Blvd, Somerville MA",Powder House Blvd,121,WEST SOMERVILLE
"156 Powder House Blvd, Somerville MA",Powder House Blvd,156,WEST SOMERVILLE
"192 Powder House Blvd, Somerville MA",Powder House Blvd,192,WEST SOMERVILLE
"228 Powder House Blvd, Somerville MA",Powder House Blvd,228,WEST SOMERVILLE
"263 Powder House Blvd, Somerville MA",Powder House Blvd,263,WEST SOMERVILLE
"299 Powder House Blvd, Somerville MA",Powder House Blvd,299,WEST SOMERVILLE
"108 Bromfield Road, Somerville MA",Bromfield Road,108,WEST SOMERVILLE
"121 Museum Street, Somerville MA",Museum Street,121,KENNEDY
"8 Garden Court, Somerville MA",Garden Court,8,KENNEDY
"4 Belmont Terrace, Somerville MA",Belmont Terrace,4,KENNEDY
"1 Capen Court, Somerville MA",Capen Court,1,KENNEDY
"3 Cottage Circle, Somerville MA",Cottage Circle,3,KENNEDY
"12 Craigie Terrace, Somerville MA",Craigie Terrace,12,KENNEDY
"14 Dresden Circle, Somerville MA",Dresden Circle,14,KENNEDY
"13 Elmwood Terrace, Somerville MA",Elmwood Terrace,13,WEST SOMERVILLE
"9 Gilson Terrace, Somerville MA",Gilson Terrace,9,KENNEDY
"15 Greenwood Terrace, Somerville MA",Greenwood Terrace,15,KENNEDY
"14 Gussie Terrace, Somerville MA",Gussie Terrace,14,KENNEDY
"1 Hayden Terrace, Somerville MA",Hayden Terrace,1,KENNEDY
"9 Steeves Circle, Somerville MA",Steeves Circle,9,KENNEDY
"12 Williams Court, Somerville MA",Williams Court,12,KENNEDY
"1 Wade Court, Somerville MA",Wade Court,1,WEST SOMERVILLE
"14 Belmont Place, Somerville MA",Belmont Place,14,KENNEDY
"12 Parker Place, Somerville MA",Parker Place,12,KENNEDY
"7 Belmont Square, Somerville MA",Belmont Square,7,KENNEDY
"6 Gov. Winthrop Road, Somerville MA",Gov. Winthrop Road,6,HEALEY
"30 Gov. Winthrop Road, Somerville MA",Gov. Winthrop Road,30,HEALEY
"54 Gov. Winthrop Road, Somerville MA",Gov. Winthrop Road,54,HEALEY
"78 Gov. Winthrop Road, Somerville MA",Gov. Winthrop Road,78,HEALEY
"102 Gov. Winthrop Road, Somerville MA",Gov. Winthrop Road,102,HEALEY
"126 Gov. Winthrop Road, Somerville MA",Gov. Winthrop Road,126,HEALEY
"2 Wellington Avenue, Somerville MA",Wellington Avenue,2,WINTER HILL
"22 Wellington Avenue, Somerville MA",Wellington Avenue,22,WINTER HILL
"9 Montrose Court, Somerville MA",Montrose Court,9,WINTER HILL
