address,street,num,school,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"6 Campbell Park Place, Somerville MA","Campbell Park Place",6,"WEST SOMERVILLE",42.397405,-71.127292,1,rooftop,"6 Campbell Park Pl",,"Somerville, MA 02144",,6,"Campbell Park Pl",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnx3vk8xbbz54bf5k9gc629hb3jb,building_centroid
"14 Powder House Blvd, Somerville MA","Powder House Blvd",14,"WEST SOMERVILLE",42.401382,-71.11789,1,rooftop,"14 Powder House Blvd",,"Somerville, MA 02144",,14,"Powder House Blvd",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnf365ke27npl35hqf8tx48nqcr3,building_centroid
"50 Powder House Blvd, Somerville MA","Powder House Blvd",50,"WEST SOMERVILLE",42.40209,-71.119929,1,rooftop,"50 Powder House Blvd",,"Somerville, MA 02144",,50,"Powder House Blvd",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnf365ke27npl352ga7huse5mkeg,building_centroid
"85 Powder House Blvd, Somerville MA","Powder House Blvd",85,"WEST SOMERVILLE",42.40117,-71.117218,0.95,range_interpolation,"85 Powder House Sq",,"Somerville, MA 02144",,85,"Powder House Sq",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usntx78vumcjlp9gh2vf45vf9sfgb,
"121 Powder House Blvd, Somerville MA","Powder House Blvd",121,"WEST SOMERVILLE",42.404296,-71.12348,1,range_interpolation,"121 Powder House Blvd",,"Somerville, MA 02144",,121,"Powder House Blvd",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usnf365ke27npl35gs3wh2z49hfb8,
"156 Powder House Blvd, Somerville MA","Powder House Blvd",156,"WEST SOMERVILLE",42.405038,-71.125514,1,rooftop,"156 Powder House Blvd",,"Somerville, MA 02144",,156,"Powder House Blvd",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnf365ke27npl35e862dkm5pf9he,building_centroid
"192 Powder House Blvd, Somerville MA","Powder House Blvd",192,"WEST SOMERVILLE",42.406033,-71.127532,1,rooftop,"192 Powder House Blvd",,"Somerville, MA 02144",,192,"Powder House Blvd",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnf365ke27npl35jzuupcsxza693,building_centroid
"228 Powder House Blvd, Somerville MA","Powder House Blvd",228,"WEST SOMERVILLE",42.406736,-71.129334,1,rooftop,"228 Powder House Blvd",,"Somerville, MA 02144",,228,"Powder House Blvd",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnf365ke27npl35ganbxejfnwbp5,building_centroid
"263 Powder House Blvd, Somerville MA","Powder House Blvd",263,"WEST SOMERVILLE",42.407939,-71.130345,1,rooftop,"263 Powder House Blvd",,"Somerville, MA 02144",,263,"Powder House Blvd",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnf365ke27npl35mv6km4kublby5,building_centroid
"299 Powder House Blvd, Somerville MA","Powder House Blvd",299,"WEST SOMERVILLE",42.407467,-71.130676,0.88,nearest_rooftop_match,"288 Powder House Blvd",,"Somerville, MA 02144",,288,"Powder House Blvd",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnf365ke27npl35r48umvmvd7rdd,building_centroid
"108 Bromfield Road, Somerville MA","Bromfield Road",108,"WEST SOMERVILLE",42.404766,-71.116764,1,rooftop,"108 Bromfield Rd",,"Somerville, MA 02144",,108,"Bromfield Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn53gy5kayfs9qdtxhczhq6hz5bf,building_centroid
"121 Museum Street, Somerville MA","Museum Street",121,KENNEDY,42.381987,-71.111493,1,rooftop,"121 Museum St",,"Somerville, MA 02143",,121,"Museum St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnt8vn5fsn7w73bynezbfsvb6ghc,building_centroid
"8 Garden Court, Somerville MA","Garden Court",8,KENNEDY,42.383414,-71.109151,1,rooftop,"8 Garden Ct",,"Somerville, MA 02143",,8,"Garden Ct",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnqs4gbqtrbzucd9tvcgk7znveca,building_centroid
"4 Belmont Terrace, Somerville MA","Belmont Terrace",4,KENNEDY,42.384926,-71.109805,1,rooftop,"4 Belmont Ter",,"Somerville, MA 02143",,4,"Belmont Ter",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usntvryc4uqftzh5ptd47y59fm5zh,building_centroid
"1 Capen Court, Somerville MA","Capen Court",1,KENNEDY,42.414692,-71.129627,1,rooftop,"1 Capen Ct",,"Somerville, MA 02144",,1,"Capen Ct",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn8vwkll9azdvj6zd2tcyudlm2a2,building_centroid
"3 Cottage Circle, Somerville MA","Cottage Circle",3,KENNEDY,42.393638,-71.122405,1,rooftop,"3 Cottage Cir",,"Somerville, MA 02144",,3,"Cottage Cir",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnfvjf5lu94r5327lzd4kkdkxgl9,building_centroid
"12 Craigie Terrace, Somerville MA","Craigie Terrace",12,KENNEDY,42.385842,-71.112865,1,rooftop,"12 Craigie Ter",,"Somerville, MA 02143",,12,"Craigie Ter",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnj2dzqsmncy7x42k3t8b4j7j82e,building_centroid
"14 Dresden Circle, Somerville MA","Dresden Circle",14,KENNEDY,42.395023,-71.120499,1,rooftop,"14 Dresden Cir",,"Somerville, MA 02144",,14,"Dresden Cir",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn5jefjkjlvunee94rtnyeyvyfk7,building_centroid
"13 Elmwood Terrace, Somerville MA","Elmwood Terrace",13,"WEST SOMERVILLE",42.398619,-71.12675,1,rooftop,"13 Elmwood Ter",,"Somerville, MA 02144",,13,"Elmwood Ter",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn53e4f3ljecxk6tvm27y5acx8x3,building_centroid
"9 Gilson Terrace, Somerville MA","Gilson Terrace",9,KENNEDY,42.388363,-71.1144,1,rooftop,"9 Gilson Ter",,"Somerville, MA 02143",,9,"Gilson Ter",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnf5sr93brs5db8ymjajwdxy6wn5,building_centroid
