address,street,num,lat,lon,zone_k5_assigned,school_k5_assigned,walk_min_to_assigned,straight_line_to_assigned_mi,closest_school_by_straight_line,closest_straight_line_mi,margin_mi,is_mismatch,is_high_confidence_mismatch,dist_to_Brown_mi,dist_to_Kennedy_mi,dist_to_WestSomerville_mi,dist_to_WinterHill_mi,dist_to_Healey_mi,dist_to_Argenziano_mi,dist_to_EastSomerville_mi,dest_6_8_assigned,dest_6_8_closest_candidate,dest_6_8_closest_mi,dest_6_8_margin_mi,dest_6_8_is_mismatch
"128 Albion Court, Somerville MA 02145",Albion Court,128,42.392115,-71.109173,Brown,Brown,13,0.4352,Kennedy,0.3748,0.0604,True,False,0.4352,0.3748,1.3119,0.5304,0.798,1.0509,1.2584,Winter Hill,Kennedy,0.3748,0.1556,True
"134 Albion Court, Somerville MA 02145",Albion Court,134,42.392195,-71.109307,Brown,Brown,13,0.4267,Kennedy,0.3718,0.0549,True,False,0.4267,0.3718,1.3032,0.5376,0.8015,1.0592,1.2659,Winter Hill,Kennedy,0.3718,0.1658,True
"8 Albion Place, Somerville MA 02145",Albion Place,8,42.392395,-71.108521,Brown,Brown,14,0.4398,Kennedy,0.4133,0.0265,True,False,0.4398,0.4133,1.3205,0.4988,0.7595,1.0513,1.2282,Winter Hill,Kennedy,0.4133,0.0855,True
"17 Albion Place, Somerville MA 02145",Albion Place,17,42.392401,-71.108203,Brown,Brown,14,0.45,Kennedy,0.4276,0.0224,True,False,0.45,0.4276,1.3315,0.4827,0.745,1.044,1.2122,Winter Hill,Kennedy,0.4276,0.0551,True
"94 Albion Street, Somerville MA 02145",Albion Street,94,42.391315,-71.107361,Brown,Brown,16,0.535,Kennedy,0.4373,0.0977,True,False,0.535,0.4373,1.4154,0.4377,0.7479,0.9576,1.1603,Kennedy,Kennedy,0.4373,0.0,False
"109 Albion Street, Somerville MA 02145",Albion Street,109,42.391696,-71.108221,Brown,Brown,15,0.4871,Kennedy,0.4053,0.0818,True,False,0.4871,0.4053,1.3661,0.4809,0.7702,1.0016,1.2067,Kennedy,Kennedy,0.4053,0.0,False
"124 Albion Street, Somerville MA 02145",Albion Street,124,42.391988,-71.10891,Brown,Brown,14,0.45,Kennedy,0.3823,0.0677,True,False,0.45,0.3823,1.3275,0.5165,0.7904,1.0366,1.244,Kennedy,Kennedy,0.3823,0.0,False
"139 Albion Street, Somerville MA 02145",Albion Street,139,42.392529,-71.109333,Brown,Brown,13,0.4071,Kennedy,0.3832,0.0239,True,False,0.4071,0.3832,1.2853,0.5409,0.7923,1.0797,1.2705,Kennedy,Kennedy,0.3832,0.0,False
"154 Albion Street, Somerville MA 02145",Albion Street,154,42.392593,-71.110342,Brown,Brown,12,0.3754,Kennedy,0.3449,0.0305,True,False,0.3754,0.3449,1.2476,0.5926,0.8371,1.1103,1.3221,Kennedy,Kennedy,0.3449,0.0,False
"169 Albion Street, Somerville MA 02145",Albion Street,169,42.393154,-71.110911,Brown,Brown,11,0.3273,Brown,0.3273,0.0,False,False,0.3273,0.3509,1.1993,0.6266,0.8492,1.1586,1.357,Kennedy,Kennedy,0.3509,0.0,False
"179 Albion Street, Somerville MA 02145",Albion Street,179,42.393312,-71.111405,Brown,Brown,10,0.3061,Brown,0.3061,0.0,False,False,0.3061,0.343,1.1745,0.6533,0.869,1.1815,1.3837,Kennedy,Kennedy,0.343,0.0,False
"100 Albion Terrace, Somerville MA 02145",Albion Terrace,100,42.391458,-71.1077,Brown,Brown,15,0.5164,Kennedy,0.4241,0.0923,True,False,0.5164,0.4241,1.3963,0.4545,0.7566,0.9745,1.1785,Winter Hill,Kennedy,0.4241,0.0304,True
"104 Albion Terrace, Somerville MA 02145",Albion Terrace,104,42.391543,-71.10789,Brown,Brown,15,0.5058,Kennedy,0.417,0.0888,True,False,0.5058,0.417,1.3854,0.4641,0.7615,0.9842,1.1887,Winter Hill,Kennedy,0.417,0.0471,True
"12 Alpine Street, Somerville MA 02145",Alpine Street,12,42.393693,-71.110629,Brown,Brown,10,0.3032,Brown,0.3032,0.0,False,False,0.3032,0.3884,1.1814,0.6198,0.823,1.1827,1.3498,Kennedy,Kennedy,0.3884,0.0,False
"27 Alpine Street, Somerville MA 02145",Alpine Street,27,42.393237,-71.110206,Brown,Brown,11,0.3414,Brown,0.3414,0.0,False,False,0.3414,0.3799,1.2192,0.5922,0.8135,1.1445,1.3226,Kennedy,Kennedy,0.3799,0.0,False
"42 Alpine Street, Somerville MA 02145",Alpine Street,42,42.393292,-71.10936,Brown,Brown,12,0.3648,Brown,0.3648,0.0,False,False,0.3648,0.4143,1.2462,0.5506,0.7721,1.1263,1.2809,Kennedy,Kennedy,0.4143,0.0,False
"57 Alpine Street, Somerville MA 02145",Alpine Street,57,42.39279,-71.108793,Brown,Brown,13,0.4099,Brown,0.4099,0.0,False,False,0.4099,0.4162,1.2913,0.516,0.7597,1.0819,1.2462,Kennedy,Kennedy,0.4162,0.0,False
"72 Alpine Street, Somerville MA 02145",Alpine Street,72,42.392726,-71.108014,Brown,Brown,17,0.44,Brown,0.44,0.0,False,False,0.44,0.4472,1.3224,0.476,0.726,1.0596,1.2063,Kennedy,Kennedy,0.4472,0.0,False
"87 Alpine Street, Somerville MA 02145",Alpine Street,87,42.392314,-71.107658,Brown,Brown,14,0.4731,Kennedy,0.4494,0.0237,True,False,0.4731,0.4494,1.3554,0.4544,0.7237,1.026,1.1838,Kennedy,Kennedy,0.4494,0.0,False
"102 Alpine Street, Somerville MA 02145",Alpine Street,102,42.392251,-71.106749,Brown,Brown,16,0.509,Winter Hill,0.4078,0.1012,True,False,0.509,0.4895,1.3916,0.4078,0.6861,1.0021,1.1373,Kennedy,Winter Hill,0.4078,0.0817,True
"2 Appleton Street, Somerville MA 02144",Appleton Street,2,42.396239,-71.115637,Brown,Brown,4,0.1108,Brown,0.1108,0.0,False,False,0.1108,0.4734,0.8808,0.9155,1.0385,1.4708,1.6401,West Somerville,Kennedy,0.4734,0.4074,True
"17 Appleton Street, Somerville MA 02144",Appleton Street,17,42.39684,-71.116294,Brown,Brown,5,0.1208,Brown,0.1208,0.0,False,False,0.1208,0.5164,0.8274,0.9617,1.0692,1.5241,1.684,West Somerville,Kennedy,0.5164,0.311,True
"32 Appleton Street, Somerville MA 02144",Appleton Street,32,42.397043,-71.117584,Brown,Brown,7,0.1832,Brown,0.1832,0.0,False,False,0.1832,0.5393,0.7764,1.0281,1.1345,1.5749,1.751,West Somerville,Kennedy,0.5393,0.2371,True
