address,street,num,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"128 Albion Court, Somerville MA 02145","Albion Court",128,42.392115,-71.109173,1,rooftop,"128 Albion Ct",,"Somerville, MA 02144",,128,"Albion Ct",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnp85fusxqd98xhysh8hgyaaggf7,building_centroid
"134 Albion Court, Somerville MA 02145","Albion Court",134,42.392195,-71.109307,1,rooftop,"134 Albion Ct",,"Somerville, MA 02144",,134,"Albion Ct",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnp85fusxqd98xhznzmgurvb3m9e,building_centroid
"8 Albion Place, Somerville MA 02145","Albion Place",8,42.392395,-71.108521,1,rooftop,"8 Albion Pl",,"Somerville, MA 02144",,8,"Albion Pl",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnqz7qrabdb9secax7rcxzhvry36,building_centroid
"17 Albion Place, Somerville MA 02145","Albion Place",17,42.392401,-71.108203,1,rooftop,"17 Albion Pl",,"Somerville, MA 02144",,17,"Albion Pl",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnqz7qrabdb9seclj24c53xzb8le,building_centroid
"94 Albion Street, Somerville MA 02145","Albion Street",94,42.391315,-71.107361,1,rooftop,"94 Albion St",,"Somerville, MA 02144",,94,"Albion St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnzejbfcn5cnpvhap8c39dmpczh8,building_centroid
"109 Albion Street, Somerville MA 02145","Albion Street",109,42.391696,-71.108221,1,range_interpolation,"109 Albion St",,"Somerville, MA 02144",,109,"Albion St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usnzejbfcn5cnpvhnfn4u6dmvkpzd,
"124 Albion Street, Somerville MA 02145","Albion Street",124,42.391988,-71.10891,1,rooftop,"124 Albion St",,"Somerville, MA 02144",,124,"Albion St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnzejbfcn5cnpvhxy2yb8j9up2v9,building_centroid
"139 Albion Street, Somerville MA 02145","Albion Street",139,42.392529,-71.109333,1,rooftop,"139 Albion St",,"Somerville, MA 02144",,139,"Albion St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnzejbfcn5cnpvhyyaexrkwbwmr7,building_centroid
"154 Albion Street, Somerville MA 02145","Albion Street",154,42.392593,-71.110342,1,rooftop,"154 Albion St",,"Somerville, MA 02144",,154,"Albion St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnzejbfcn5cnpvhgla9xfk3v6d8e,building_centroid
"169 Albion Street, Somerville MA 02145","Albion Street",169,42.393154,-71.110911,1,rooftop,"169 Albion St",,"Somerville, MA 02144",,169,"Albion St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnzejbfcn5cnpvh5mbx6e8d2hxy7,building_centroid
