address,street,endpoint,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"128 Albion Court, Somerville MA 02145","Albion Court",start,42.392115,-71.109173,1,rooftop,"128 Albion Ct",,"Somerville, MA 02144",,128,"Albion Ct",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnp85fusxqd98xhysh8hgyaaggf7,building_centroid
"134 Albion Court, Somerville MA 02145","Albion Court",end,42.392195,-71.109307,1,rooftop,"134 Albion Ct",,"Somerville, MA 02144",,134,"Albion Ct",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnp85fusxqd98xhznzmgurvb3m9e,building_centroid
"8 Albion Place, Somerville MA 02145","Albion Place",start,42.392395,-71.108521,1,rooftop,"8 Albion Pl",,"Somerville, MA 02144",,8,"Albion Pl",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnqz7qrabdb9secax7rcxzhvry36,building_centroid
"17 Albion Place, Somerville MA 02145","Albion Place",end,42.392401,-71.108203,1,rooftop,"17 Albion Pl",,"Somerville, MA 02144",,17,"Albion Pl",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnqz7qrabdb9seclj24c53xzb8le,building_centroid
"94 Albion Street, Somerville MA 02145","Albion Street",start,42.391315,-71.107361,1,rooftop,"94 Albion St",,"Somerville, MA 02144",,94,"Albion St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnzejbfcn5cnpvhap8c39dmpczh8,building_centroid
"179 Albion Street, Somerville MA 02145","Albion Street",end,42.393312,-71.111405,1,rooftop,"179C Albion St",,"Somerville, MA 02144",,179C,"Albion St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnzejbfcn5cnpvh45x5ynkpxml42,building_centroid
"100 Albion Terrace, Somerville MA 02145","Albion Terrace",start,42.391458,-71.1077,1,rooftop,"100 Albion Ter",,"Somerville, MA 02144",,100,"Albion Ter",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnl2umwkbsmd27flrjqznp3ex4w6,building_centroid
"104 Albion Terrace, Somerville MA 02145","Albion Terrace",end,42.391543,-71.10789,1,rooftop,"104 Albion Ter",,"Somerville, MA 02144",,104,"Albion Ter",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnl2umwkbsmd27flhvr2n8jk7b8c,building_centroid
"12 Alpine Street, Somerville MA 02144","Alpine Street",start,42.393693,-71.110629,1,rooftop,"12 Alpine St",,"Somerville, MA 02144",,12,"Alpine St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usns6bp3eecanku8kfmtzbda7vd95,building_centroid
"102 Alpine Street, Somerville MA 02144","Alpine Street",end,42.392251,-71.106749,1,rooftop,"102 Alpine St",,"Somerville, MA 02144",,102,"Alpine St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usns6bp3eecanku8jzlex65tn642h,building_centroid
