address,street,range_note
"Albion Court, Somerville MA 02145",Albion Court,
"18 Albion Place, Somerville MA 02145",Albion Place,
"120 Albion Street, Somerville MA 02145",Albion Street,94-179 only
"Albion Terrace, Somerville MA 02145",Albion Terrace,
"Alpine Street, Somerville MA 02144",Alpine Street,
"Appleton Street, Somerville MA 02144",Appleton Street,
"Bay State Avenue, Somerville MA 02144",Bay State Avenue,
"Bellevue Terrace, Somerville MA 02144",Bellevue Terrace,
"80 Boston Avenue, Somerville MA 02144",Boston Avenue,1-158 only
"95 Bristol Road, Somerville MA 02145",Bristol Road,87-108 only
"650 Broadway, Somerville MA 02144",Broadway,585-726 only
"130 Cedar Street, Somerville MA 02144",Cedar Street,"107-165 odd, 154-end only"
"Clifton Street, Somerville MA 02145",Clifton Street,
"Clyde Street, Somerville MA 02145",Clyde Street,
"80 College Avenue, Somerville MA 02144",College Avenue,1-143 only
"Elm Court, Somerville MA 02144",Elm Court,
"Ellington Road, Somerville MA 02145",Ellington Road,
"Foskett Street, Somerville MA 02145",Foskett Street,
"Francesca Avenue, Somerville MA 02144",Francesca Avenue,
"Grove Street, Somerville MA 02144",Grove Street,
"Hall Avenue, Somerville MA 02144",Hall Avenue,
"300 Highland Avenue, Somerville MA 02144",Highland Avenue,219-407 odd only
"Highland Road, Somerville MA 02144",Highland Road,
"Josephine Avenue, Somerville MA 02144",Josephine Avenue,
"Kidder Avenue, Somerville MA 02144",Kidder Avenue,
"Liberty Avenue, Somerville MA 02144",Liberty Avenue,
"Liberty Road, Somerville MA 02144",Liberty Road,
"Lowden Avenue, Somerville MA 02144",Lowden Avenue,
"Mallet Street, Somerville MA 02144",Mallet Street,
"Maxwell's Green, Somerville MA 02144",Maxwell's Green,
"Morrison Avenue, Somerville MA 02144",Morrison Avenue,
"Morrison Place, Somerville MA 02144",Morrison Place,
"Murdock Street, Somerville MA 02145",Murdock Street,
"Newman Place, Somerville MA 02145",Newman Place,
"Pearson Avenue, Somerville MA 02144",Pearson Avenue,
"20 Pearson Road, Somerville MA 02144",Pearson Road,1-39 only
"Powder House Terrace, Somerville MA 02144",Powder House Terrace,
"Prichard Avenue, Somerville MA 02144",Prichard Avenue,
"Princeton Street, Somerville MA 02145",Princeton Street,
"Rogers Avenue, Somerville MA 02144",Rogers Avenue,
"Warwick Street, Somerville MA 02145",Warwick Street,
"150 Willow Avenue, Somerville MA 02144",Willow Avenue,130-end only
"Wilson Avenue, Somerville MA 02144",Wilson Avenue,
"Winslow Avenue, Somerville MA 02144",Winslow Avenue,
