address,street,num,school,range_low,range_high,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio Address Line 4,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State / Province,Geocodio Nation,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Building Name,Geocodio Source,Geocodio Stable Address Key,Geocodio Match Type
"1 Aldrich Street, Somerville MA",Aldrich Street,1,EAST SOMERVILLE,1,99,42.386063,-71.091172,0.89,nearest_rooftop_match,15 Aldrich St,,"Somerville, MA 02145",,15,Aldrich St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usneymguczfg7kh8e73e8wmutbfqd,building_centroid
"26 Aldrich Street, Somerville MA",Aldrich Street,26,EAST SOMERVILLE,1,99,42.385569,-71.091194,0.91,nearest_rooftop_match,30 Aldrich St,,"Somerville, MA 02145",,30,Aldrich St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usneymguczfg7kh8agewhhk6bmzxh,building_centroid
"50 Aldrich Street, Somerville MA",Aldrich Street,50,EAST SOMERVILLE,1,99,42.385387,-71.091641,1,range_interpolation,50 Aldrich St,,"Somerville, MA 02145",,50,Aldrich St,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usneymguczfg7kh8jbhecatclpy4g,
"74 Aldrich Street, Somerville MA",Aldrich Street,74,EAST SOMERVILLE,1,99,42.385267,-71.091717,1,range_interpolation,74 Aldrich St,,"Somerville, MA 02145",,74,Aldrich St,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usneymguczfg7kh8584ryrmkal62d,
"1 Alston Street, Somerville MA",Alston Street,1,EAST SOMERVILLE,1,99,42.38245,-71.089953,0.91,nearest_rooftop_match,2 Alston St,,"Somerville, MA 02143",,2,Alston St,,,Somerville,MA,,Middlesex County,02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnrq9p6j5b555fgzpd9jrl2fq678,building_centroid
"26 Alston Street, Somerville MA",Alston Street,26,EAST SOMERVILLE,1,99,42.38191,-71.089885,1,range_interpolation,26 Alston St,,"Somerville, MA 02143",,26,Alston St,,,Somerville,MA,,Middlesex County,02143,US,,TIGER/Line® from the US Census Bureau,gcod_usnrq9p6j5b555fg35t83vemqzqgb,
"50 Alston Street, Somerville MA",Alston Street,50,EAST SOMERVILLE,1,99,42.381013,-71.089023,1,rooftop,50 Alston St,,"Somerville, MA 02143",,50,Alston St,,,Somerville,MA,,Middlesex County,02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnrq9p6j5b555fgj5j6akh4ja3kc,building_centroid
"74 Alston Street, Somerville MA",Alston Street,74,EAST SOMERVILLE,1,99,42.381309,-71.089109,1,range_interpolation,74 Alston St,,"Somerville, MA 02143",,74,Alston St,,,Somerville,MA,,Middlesex County,02143,US,,TIGER/Line® from the US Census Bureau,gcod_usnrq9p6j5b555fg4mg66vmhca6ud,
"441 Artisan Way, Somerville MA",Artisan Way,441,EAST SOMERVILLE,441,461,42.395082,-71.078584,0.91,nearest_rooftop_match,445 Artisan Way,,"Somerville, MA 02145",,445,Artisan Way,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnjmwbufga564k3km3q3kcqbpvq6,building_centroid
"461 Artisan Way, Somerville MA",Artisan Way,461,EAST SOMERVILLE,441,461,42.395082,-71.078584,1,rooftop,461 Artisan Way,,"Somerville, MA 02145",,461,Artisan Way,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnjmwbufga564k3hdmf6j7rfa35b,building_centroid
"1 Auburn Avenue, Somerville MA",Auburn Avenue,1,EAST SOMERVILLE,1,99,42.383735,-71.089863,0.91,nearest_rooftop_match,2 Auburn Ave,,"Somerville, MA 02145",,2,Auburn Ave,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnegm6tnr43vpteduf59xkjtx3nf,building_centroid
"26 Auburn Avenue, Somerville MA",Auburn Avenue,26,EAST SOMERVILLE,1,99,42.383934,-71.089693,1,range_interpolation,26 Auburn Ave,,"Somerville, MA 02145",,26,Auburn Ave,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnegm6tnr43vptebahwfclt87mca,
"50 Auburn Avenue, Somerville MA",Auburn Avenue,50,EAST SOMERVILLE,1,99,42.384158,-71.090107,1,range_interpolation,50 Auburn Ave,,"Somerville, MA 02145",,50,Auburn Ave,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnegm6tnr43vpteh82xswskkmxh7,
"74 Auburn Avenue, Somerville MA",Auburn Avenue,74,EAST SOMERVILLE,1,99,42.384386,-71.090511,1,range_interpolation,74 Auburn Ave,,"Somerville, MA 02145",,74,Auburn Ave,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnegm6tnr43vpte7mvu6xzz22gec,
"1 Austin Street, Somerville MA",Austin Street,1,EAST SOMERVILLE,1,99,42.387017,-71.080743,0.91,nearest_rooftop_match,2 Austin St,,"Somerville, MA 02145",,2,Austin St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnazwre8stkfn8elyjtbzcgrw4k3,building_centroid
"26 Austin Street, Somerville MA",Austin Street,26,EAST SOMERVILLE,1,99,42.387586,-71.080308,1,range_interpolation,26 Austin St,,"Somerville, MA 02145",,26,Austin St,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnazwre8stkfn8ekcp3aburxsnt8,
"50 Austin Street, Somerville MA",Austin Street,50,EAST SOMERVILLE,1,99,42.387802,-71.080284,1,range_interpolation,50 Austin St,,"Somerville, MA 02145",,50,Austin St,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnazwre8stkfn8e6be3sdxh7v4re,
"74 Austin Street, Somerville MA",Austin Street,74,EAST SOMERVILLE,1,99,42.388013,-71.080221,1,range_interpolation,74 Austin St,,"Somerville, MA 02145",,74,Austin St,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnazwre8stkfn8ejrgsb8q2w32e9,
"1 Autumn Street, Somerville MA",Autumn Street,1,EAST SOMERVILLE,1,99,42.388853,-71.087316,0.91,nearest_rooftop_match,5 Autumn St,,"Somerville, MA 02145",,5,Autumn St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnnlqz3ryyyzsce69fh482jt36fh,building_centroid
"26 Autumn Street, Somerville MA",Autumn Street,26,EAST SOMERVILLE,1,99,42.388718,-71.087428,1,range_interpolation,26 Autumn St,,"Somerville, MA 02145",,26,Autumn St,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnnlqz3ryyyzscetktlp9z382294,
"50 Autumn Street, Somerville MA",Autumn Street,50,EAST SOMERVILLE,1,99,42.388509,-71.087605,1,range_interpolation,50 Autumn St,,"Somerville, MA 02145",,50,Autumn St,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnnlqz3ryyyzscep9xuaxlwzy8md,
"74 Autumn Street, Somerville MA",Autumn Street,74,EAST SOMERVILLE,1,99,42.3883,-71.087776,1,range_interpolation,74 Autumn St,,"Somerville, MA 02145",,74,Autumn St,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnnlqz3ryyyzscedu4gq45gqpznb,
"1 Avon Place, Somerville MA",Avon Place,1,EAST SOMERVILLE,1,99,42.385082,-71.100114,0.95,rooftop,1 Avon St,,"Somerville, MA 02143",,1,Avon St,,,Somerville,MA,,Middlesex County,02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnrnpefs95e2dn6s64sxsngwsfr6,building_centroid
"26 Avon Place, Somerville MA",Avon Place,26,EAST SOMERVILLE,1,99,42.383454,-71.089841,1,range_interpolation,26 Avon Pl,,"Somerville, MA 02145",,26,Avon Pl,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usn7sth3wngplu59l95uvlqpyjya2,
"50 Avon Place, Somerville MA",Avon Place,50,EAST SOMERVILLE,1,99,42.383446,-71.089848,1,range_interpolation,50 Avon Pl,,"Somerville, MA 02145",,50,Avon Pl,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usn7sth3wngplu59y3eqbsvhhw86d,
"74 Avon Place, Somerville MA",Avon Place,74,EAST SOMERVILLE,1,99,42.383482,-71.089935,1,range_interpolation,74 Avon Pl,,"Somerville, MA 02145",,74,Avon Pl,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usn7sth3wngplu59byeecvreqpez4,
"1 Benedict Avenue, Somerville MA",Benedict Avenue,1,EAST SOMERVILLE,1,99,42.386972,-71.079939,0.89,nearest_rooftop_match,11 Benedict Ave,,"Somerville, MA 02145",,11,Benedict Ave,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnkmfg4nwuwgfnclvpd5zmt3n4bh,building_centroid
