address,street,num,school,range_low,range_high
"1 Ash Avenue, Somerville MA",Ash Avenue,1,HEALEY,1,99
"26 Ash Avenue, Somerville MA",Ash Avenue,26,HEALEY,1,99
"50 Ash Avenue, Somerville MA",Ash Avenue,50,HEALEY,1,99
"74 Ash Avenue, Somerville MA",Ash Avenue,74,HEALEY,1,99
"99 Ash Avenue, Somerville MA",Ash Avenue,99,HEALEY,1,99
"1 Bailey Road, Somerville MA",Bailey Road,1,HEALEY,1,199
"34 Bailey Road, Somerville MA",Bailey Road,34,HEALEY,1,199
"67 Bailey Road, Somerville MA",Bailey Road,67,HEALEY,1,199
"100 Bailey Road, Somerville MA",Bailey Road,100,HEALEY,1,199
"133 Bailey Road, Somerville MA",Bailey Road,133,HEALEY,1,199
"166 Bailey Road, Somerville MA",Bailey Road,166,HEALEY,1,199
"199 Bailey Road, Somerville MA",Bailey Road,199,HEALEY,1,199
"1 Bond Street, Somerville MA",Bond Street,1,HEALEY,1,99
"26 Bond Street, Somerville MA",Bond Street,26,HEALEY,1,99
"50 Bond Street, Somerville MA",Bond Street,50,HEALEY,1,99
"74 Bond Street, Somerville MA",Bond Street,74,HEALEY,1,99
"99 Bond Street, Somerville MA",Bond Street,99,HEALEY,1,99
"2 Butler Drive, Somerville MA",Butler Drive,2,HEALEY,2,98
"26 Butler Drive, Somerville MA",Butler Drive,26,HEALEY,2,98
"50 Butler Drive, Somerville MA",Butler Drive,50,HEALEY,2,98
"74 Butler Drive, Somerville MA",Butler Drive,74,HEALEY,2,98
"98 Butler Drive, Somerville MA",Butler Drive,98,HEALEY,2,98
"1 Canal Lane, Somerville MA",Canal Lane,1,HEALEY,1,99
"26 Canal Lane, Somerville MA",Canal Lane,26,HEALEY,1,99
"50 Canal Lane, Somerville MA",Canal Lane,50,HEALEY,1,99
"74 Canal Lane, Somerville MA",Canal Lane,74,HEALEY,1,99
"99 Canal Lane, Somerville MA",Canal Lane,99,HEALEY,1,99
"301 Canal Street, Somerville MA",Canal Street,301,HEALEY,301,499
"334 Canal Street, Somerville MA",Canal Street,334,HEALEY,301,499
"367 Canal Street, Somerville MA",Canal Street,367,HEALEY,301,499
"400 Canal Street, Somerville MA",Canal Street,400,HEALEY,301,499
"433 Canal Street, Somerville MA",Canal Street,433,HEALEY,301,499
"466 Canal Street, Somerville MA",Canal Street,466,HEALEY,301,499
"499 Canal Street, Somerville MA",Canal Street,499,HEALEY,301,499
