address,street,num,school,range_low,range_high,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio Address Line 4,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State / Province,Geocodio Nation,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Building Name,Geocodio Source,Geocodio Stable Address Key,Geocodio Match Type
"1 Ash Avenue, Somerville MA",Ash Avenue,1,HEALEY,1,99,42.39888,-71.09517,1,range_interpolation,1 Ash Ave,,"Somerville, MA 02145",,1,Ash Ave,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usn9za958djef4q2b633uhjxgmeff,
"26 Ash Avenue, Somerville MA",Ash Avenue,26,HEALEY,1,99,42.398417,-71.095833,1,rooftop,26 Ash Ave,,"Somerville, MA 02145",,26,Ash Ave,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn9za958djef4q2qxyjmxzggc4cg,building_centroid
"50 Ash Avenue, Somerville MA",Ash Avenue,50,HEALEY,1,99,42.399249,-71.095092,1,rooftop,50 Ash Ave,,"Somerville, MA 02145",,50,Ash Ave,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn9za958djef4q2qy5trd4a4626a,building_centroid
"74 Ash Avenue, Somerville MA",Ash Avenue,74,HEALEY,1,99,42.399132,-71.095147,1,range_interpolation,74 Ash Ave,,"Somerville, MA 02145",,74,Ash Ave,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usn9za958djef4q22dw9wptg348l6,
"99 Ash Avenue, Somerville MA",Ash Avenue,99,HEALEY,1,99,42.39888,-71.09517,1,range_interpolation,99 Ash Ave,,"Somerville, MA 02145",,99,Ash Ave,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usn9za958djef4q2cwf3lqsp24jte,
"1 Bailey Road, Somerville MA",Bailey Road,1,HEALEY,1,199,42.394838,-71.086551,0.89,nearest_rooftop_match,15 Bailey Rd,,"Somerville, MA 02145",,15,Bailey Rd,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usndske9ecyvqdtceza47ld2mrkr7,building_centroid
"34 Bailey Road, Somerville MA",Bailey Road,34,HEALEY,1,199,42.395225,-71.087136,1,range_interpolation,34 Bailey Rd,,"Somerville, MA 02145",,34,Bailey Rd,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usndske9ecyvqdtc3dxkz8m25t5wa,
"67 Bailey Road, Somerville MA",Bailey Road,67,HEALEY,1,199,42.395996,-71.088043,1,rooftop,67 Bailey Rd,,"Somerville, MA 02145",,67,Bailey Rd,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usndske9ecyvqdtcysjcjhxb246f3,building_centroid
"100 Bailey Road, Somerville MA",Bailey Road,100,HEALEY,1,199,42.39649,-71.088791,1,range_interpolation,100 Bailey Rd,,"Somerville, MA 02145",,100,Bailey Rd,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usndske9ecyvqdtctbapq4sl6mdkh,
"133 Bailey Road, Somerville MA",Bailey Road,133,HEALEY,1,199,42.397451,-71.09,1,rooftop,133 Bailey Rd,,"Somerville, MA 02145",,133,Bailey Rd,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usndske9ecyvqdtct9mlafq589kla,building_centroid
