address,street,school
"Ash Avenue, Somerville MA 02144",Ash Avenue,HEALEY
"Bailey Road, Somerville MA 02145",Bailey Road,HEALEY
"Bond Street, Somerville MA 02145",Bond Street,HEALEY
"Broadway 253-431, Somerville MA 02145",Broadway 253-431,HEALEY
"Butler Drive, Somerville MA 02145",Butler Drive,HEALEY
"Canal Lane, Somerville MA 02145",Canal Lane,HEALEY
"Canal Street, Somerville MA 02145",Canal Street,HEALEY
"Century Street, Somerville MA 02145",Century Street,HEALEY
"Crest Hill Road, Somerville MA 02145",Crest Hill Road,HEALEY
"Derby Street, Somerville MA 02145",Derby Street,HEALEY
"Douglas Avenue, Somerville MA 02145",Douglas Avenue,HEALEY
"East Albion Street, Somerville MA 02145",East Albion Street,HEALEY
"Edgar Avenue, Somerville MA 02145",Edgar Avenue,HEALEY
"Edgar Court, Somerville MA 02145",Edgar Court,HEALEY
"Edgar Terrace, Somerville MA 02145",Edgar Terrace,HEALEY
"Fellsway, Somerville MA 02145",Fellsway,HEALEY
"Fellsway West, Somerville MA 02145",Fellsway West,HEALEY
"Fenwick Street, Somerville MA 02145",Fenwick Street,HEALEY
"Florence Terrace, Somerville MA 02145",Florence Terrace,HEALEY
"Fremont Street, Somerville MA 02145",Fremont Street,HEALEY
"Gov. Winthrop Road, Somerville MA 02145",Gov. Winthrop Road,HEALEY
"Grant Street, Somerville MA 02145",Grant Street,HEALEY
"Great River Road, Somerville MA 02145",Great River Road,HEALEY
"Heath Street, Somerville MA 02145",Heath Street,HEALEY
"Jaques Street, Somerville MA 02145",Jaques Street,HEALEY
"Langmaid Avenue, Somerville MA 02145",Langmaid Avenue,HEALEY
"Main Street, Somerville MA 02145",Main Street,HEALEY
"Meacham Street, Somerville MA 02145",Meacham Street,HEALEY
"Melville Road, Somerville MA 02145",Melville Road,HEALEY
"Memorial Road, Somerville MA 02145",Memorial Road,HEALEY
"Moreland Street, Somerville MA 02145",Moreland Street,HEALEY
"Mystic Avenue 356-End, Somerville MA 02145",Mystic Avenue 356-End,HEALEY
"Puritan Road, Somerville MA 02145",Puritan Road,HEALEY
"Putnam Road, Somerville MA 02145",Putnam Road,HEALEY
"River Road, Somerville MA 02145",River Road,HEALEY
"Sewall Street, Somerville MA 02145",Sewall Street,HEALEY
"Shore Drive, Somerville MA 02145",Shore Drive,HEALEY
"Snow Terrace, Somerville MA 02145",Snow Terrace,HEALEY
"Sydney Street, Somerville MA 02145",Sydney Street,HEALEY
"Taylor Street, Somerville MA 02145",Taylor Street,HEALEY
"Temple Road, Somerville MA 02145",Temple Road,HEALEY
"Temple Street, Somerville MA 02145",Temple Street,HEALEY
"Ten Hills Road, Somerville MA 02145",Ten Hills Road,HEALEY
"Upland Park, Somerville MA 02145",Upland Park,HEALEY
"Wheatland Street, Somerville MA 02145",Wheatland Street,HEALEY
"Winter Hill Circle, Somerville MA 02145",Winter Hill Circle,HEALEY
