address,street,school,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"Ash Avenue, Somerville MA 02144","Ash Avenue",HEALEY,42.399052,-71.095018,1,street_center,"Ash Ave",,"Somerville, MA 02145",,,"Ash Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss9za958djef4q2,
"Bailey Road, Somerville MA 02145","Bailey Road",HEALEY,42.394745,-71.086748,1,street_center,"Bailey Rd",,"Somerville, MA 02145",,,"Bailey Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussdske9ecyvqdtc,
"Bond Street, Somerville MA 02145","Bond Street",HEALEY,42.395626,-71.095584,1,street_center,"Bond St",,"Somerville, MA 02145",,,"Bond St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss48cqcc3eutjl9,
"Broadway 253-431, Somerville MA 02145","Broadway 253-431",HEALEY,42.391046,-71.095146,1,place,,,"Somerville, MA 02145",,,,,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",,
"Butler Drive, Somerville MA 02145","Butler Drive",HEALEY,42.395263,-71.091361,1,street_center,"Butler Dr",,"Somerville, MA 02145",,,"Butler Dr",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussn2gx3anr3qzj9,
"Canal Lane, Somerville MA 02145","Canal Lane",HEALEY,42.396735,-71.093939,1,street_center,"Canal Ln",,"Somerville, MA 02145",,,"Canal Ln",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussdf6644qqlagv8,
"Canal Street, Somerville MA 02145","Canal Street",HEALEY,42.394328,-71.078314,1,street_center,"Canal St",,"Somerville, MA 02145",,,"Canal St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usscj8f8aknv3jzg,
"Century Street, Somerville MA 02145","Century Street",HEALEY,42.39676,-71.097141,1,street_center,"Century St",,"Somerville, MA 02145",,,"Century St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss6dbvjpqpxw5ka,
"Crest Hill Road, Somerville MA 02145","Crest Hill Road",HEALEY,42.398884,-71.086896,1,street_center,"Crest Hill Rd",,"Somerville, MA 02145",,,"Crest Hill Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usszy4fzanb9qkjc,
"Derby Street, Somerville MA 02145","Derby Street",HEALEY,42.393174,-71.089013,1,street_center,"Derby St",,"Somerville, MA 02145",,,"Derby St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usslu49559x6cf5h,
"Douglas Avenue, Somerville MA 02145","Douglas Avenue",HEALEY,42.395455,-71.097233,1,street_center,"Douglas Ave",,"Somerville, MA 02145",,,"Douglas Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussn3wj9tm9l7j5c,
"East Albion Street, Somerville MA 02145","East Albion Street",HEALEY,42.399056,-71.095515,1,street_center,"E Albion St",,"Somerville, MA 02145",,,"E Albion St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussh58trxtyw5nr4,
"Edgar Avenue, Somerville MA 02145","Edgar Avenue",HEALEY,42.397176,-71.09602,1,street_center,"Edgar Ave",,"Somerville, MA 02145",,,"Edgar Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussc9teucsneau65,
"Edgar Court, Somerville MA 02145","Edgar Court",HEALEY,42.397157,-71.096393,1,street_center,"Edgar Ct",,"Somerville, MA 02145",,,"Edgar Ct",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussm4bddtgdjb2n9,
"Edgar Terrace, Somerville MA 02145","Edgar Terrace",HEALEY,42.396653,-71.096657,1,street_center,"Edgar Ter",,"Somerville, MA 02145",,,"Edgar Ter",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussuh2hel7ky9ea7,
"Fellsway, Somerville MA 02145",Fellsway,HEALEY,42.392732,-71.085793,1,street_center,Fellsway,,"Somerville, MA 02145",,,Fellsway,,,Somerville,MA,,"Middlesex County",02145,US,,"OpenStreetMap Contributors",gcod_ussx8phng4hh98b3,
"Fellsway West, Somerville MA 02145","Fellsway West",HEALEY,42.391287,-71.08968,1,street_center,"Fellsway W",,"Somerville, MA 02145",,,"Fellsway W",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usskpswngfjperb8,
"Fenwick Street, Somerville MA 02145","Fenwick Street",HEALEY,42.395271,-71.094873,1,street_center,"Fenwick St",,"Somerville, MA 02145",,,"Fenwick St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussffvw5cej8tvye,
"Florence Terrace, Somerville MA 02145","Florence Terrace",HEALEY,42.394631,-71.093035,1,street_center,"Florence Ter",,"Somerville, MA 02145",,,"Florence Ter",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usscu8fy4cwvy8lf,
"Fremont Street, Somerville MA 02145","Fremont Street",HEALEY,42.397026,-71.099094,1,street_center,"Fremont St",,"Somerville, MA 02145",,,"Fremont St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussaa3txk5289hbe,
"Gov. Winthrop Road, Somerville MA 02145","Gov. Winthrop Road",HEALEY,42.391046,-71.095146,1,place,,,"Somerville, MA 02145",,,,,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",,
"Grant Street, Somerville MA 02145","Grant Street",HEALEY,42.393641,-71.089013,1,street_center,"Grant St",,"Somerville, MA 02145",,,"Grant St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usswsdvbt5ervmq8,
"Great River Road, Somerville MA 02145","Great River Road",HEALEY,42.395924,-71.08064,1,street_center,"Great River Rd",,"Somerville, MA 02145",,,"Great River Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussgmhpagngjbe26,
"Heath Street, Somerville MA 02145","Heath Street",HEALEY,42.3945,-71.094361,1,street_center,"Heath St",,"Somerville, MA 02145",,,"Heath St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usstgfyzm39x7u85,
"Jaques Street, Somerville MA 02145","Jaques Street",HEALEY,42.39263,-71.089757,1,street_center,"Jaques St",,"Somerville, MA 02145",,,"Jaques St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussqsh5pyekce6qe,
"Langmaid Avenue, Somerville MA 02145","Langmaid Avenue",HEALEY,42.393492,-71.093676,1,street_center,"Langmaid Ave",,"Somerville, MA 02145",,,"Langmaid Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussb3tzxvdygegh9,
"Main Street, Somerville MA 02145","Main Street",HEALEY,42.395725,-71.098121,1,street_center,"Main St",,"Somerville, MA 02145",,,"Main St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussblfb227g55r94,
"Meacham Street, Somerville MA 02145","Meacham Street",HEALEY,42.397439,-71.096154,1,street_center,"Meacham St",,"Somerville, MA 02145",,,"Meacham St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss96w5gtg7b7pa8,
"Melville Road, Somerville MA 02145","Melville Road",HEALEY,42.398482,-71.086283,1,street_center,"Melville Rd",,"Somerville, MA 02145",,,"Melville Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usslujq5nsypzul5,
"Memorial Road, Somerville MA 02145","Memorial Road",HEALEY,42.396036,-71.092222,1,street_center,"Memorial Rd",,"Somerville, MA 02145",,,"Memorial Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussgs3p9uvzrqe7b,
"Moreland Street, Somerville MA 02145","Moreland Street",HEALEY,42.399495,-71.095611,1,street_center,"Moreland St",,"Somerville, MA 02145",,,"Moreland St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussqjfsle9fn3vdd,
"Mystic Avenue 356-End, Somerville MA 02145","Mystic Avenue 356-End",HEALEY,42.455275,-71.277671,0.74,rooftop,"35 Ent Rd",,"Hanscom AFB, MA 01731",,35,"Ent Rd",,,"Hanscom AFB",MA,,"Middlesex County",01731,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnzdft5ybj5hbhdfwjs9sculrkd8,building_centroid
"Puritan Road, Somerville MA 02145","Puritan Road",HEALEY,42.396268,-71.086467,1,street_center,"Puritan Rd",,"Somerville, MA 02145",,,"Puritan Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussasnlby4wbs428,
"Putnam Road, Somerville MA 02145","Putnam Road",HEALEY,42.397089,-71.086423,1,street_center,"Putnam Rd",,"Somerville, MA 02145",,,"Putnam Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussgzawhn5d382jh,
"River Road, Somerville MA 02145","River Road",HEALEY,42.397515,-71.093069,1,street_center,"River Rd",,"Somerville, MA 02145",,,"River Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussqlrfkdfvzvnrh,
"Sewall Street, Somerville MA 02145","Sewall Street",HEALEY,42.393276,-71.092064,1,street_center,"Sewall St",,"Somerville, MA 02145",,,"Sewall St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usszlwgpavsterd6,
"Shore Drive, Somerville MA 02145","Shore Drive",HEALEY,42.397864,-71.090344,1,street_center,"Shore Dr",,"Somerville, MA 02145",,,"Shore Dr",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussc7rbhz7txtkad,
"Snow Terrace, Somerville MA 02145","Snow Terrace",HEALEY,42.394773,-71.093345,1,street_center,"Snow Ter",,"Somerville, MA 02145",,,"Snow Ter",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussdhvh573clnufa,
"Sydney Street, Somerville MA 02145","Sydney Street",HEALEY,42.394161,-71.089084,1,street_center,"Sydney St",,"Somerville, MA 02145",,,"Sydney St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss5scst8v8dd984,
"Taylor Street, Somerville MA 02145","Taylor Street",HEALEY,42.394792,-71.088972,1,street_center,"Taylor St",,"Somerville, MA 02145",,,"Taylor St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usszltgvmbl686tb,
"Temple Road, Somerville MA 02145","Temple Road",HEALEY,42.39807,-71.085647,1,street_center,"Temple Rd",,"Somerville, MA 02145",,,"Temple Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussb2zpts3bt2rjh,
"Temple Street, Somerville MA 02145","Temple Street",HEALEY,42.393008,-71.09302,1,street_center,"Temple St",,"Somerville, MA 02145",,,"Temple St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussk56xjlqkfm779,
"Ten Hills Road, Somerville MA 02145","Ten Hills Road",HEALEY,42.404055,-71.128092,1,rooftop,"10 Hill St",,"Somerville, MA 02144",,10,"Hill St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usngr53ea995akt94fvm4p9lvy3u3,building_centroid
"Upland Park, Somerville MA 02145","Upland Park",HEALEY,42.396847,-71.099456,1,street_center,"Upland Park",,"Somerville, MA 02145",,,"Upland Park",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss594x2nrjlz2aa,
"Wheatland Street, Somerville MA 02145","Wheatland Street",HEALEY,42.392666,-71.089075,1,street_center,"Wheatland St",,"Somerville, MA 02145",,,"Wheatland St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussrlkweg54zdwxa,
"Winter Hill Circle, Somerville MA 02145","Winter Hill Circle",HEALEY,42.393833,-71.095099,1,street_center,"Winter Hill Cir",,"Somerville, MA 02145",,,"Winter Hill Cir",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usskb4ate7ugw7s2,
