address,street,num,school,range_note
"182 Highland Avenue, Somerville MA",Highland Avenue,182,KENNEDY,182-402 (even side only)
"220 Highland Avenue, Somerville MA",Highland Avenue,220,KENNEDY,182-402 (even side only)
"256 Highland Avenue, Somerville MA",Highland Avenue,256,KENNEDY,182-402 (even side only)
"292 Highland Avenue, Somerville MA",Highland Avenue,292,KENNEDY,182-402 (even side only)
"330 Highland Avenue, Somerville MA",Highland Avenue,330,KENNEDY,182-402 (even side only)
"366 Highland Avenue, Somerville MA",Highland Avenue,366,KENNEDY,182-402 (even side only)
"402 Highland Avenue, Somerville MA",Highland Avenue,402,KENNEDY,182-402 (even side only)
"1 Cedar Street, Somerville MA",Cedar Street,1,KENNEDY,1-105
"18 Cedar Street, Somerville MA",Cedar Street,18,KENNEDY,1-105
"36 Cedar Street, Somerville MA",Cedar Street,36,KENNEDY,1-105
"53 Cedar Street, Somerville MA",Cedar Street,53,KENNEDY,1-105
"70 Cedar Street, Somerville MA",Cedar Street,70,KENNEDY,1-105
"88 Cedar Street, Somerville MA",Cedar Street,88,KENNEDY,1-105
"105 Cedar Street, Somerville MA",Cedar Street,105,KENNEDY,1-105
"154 Highland Avenue, Somerville MA",Highland Avenue,154,WINTER HILL,"154-174 (even side, missing from WH zone entirely)"
"164 Highland Avenue, Somerville MA",Highland Avenue,164,WINTER HILL,"154-174 (even side, missing from WH zone entirely)"
"174 Highland Avenue, Somerville MA",Highland Avenue,174,WINTER HILL,"154-174 (even side, missing from WH zone entirely)"
"157 Highland Avenue, Somerville MA",Highland Avenue,157,WINTER HILL,"157-217 (odd side, missing from WH zone entirely)"
"173 Highland Avenue, Somerville MA",Highland Avenue,173,WINTER HILL,"157-217 (odd side, missing from WH zone entirely)"
"187 Highland Avenue, Somerville MA",Highland Avenue,187,WINTER HILL,"157-217 (odd side, missing from WH zone entirely)"
"203 Highland Avenue, Somerville MA",Highland Avenue,203,WINTER HILL,"157-217 (odd side, missing from WH zone entirely)"
"217 Highland Avenue, Somerville MA",Highland Avenue,217,WINTER HILL,"157-217 (odd side, missing from WH zone entirely)"
