address,street,num,school,range_note,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"182 Highland Avenue, Somerville MA","Highland Avenue",182,KENNEDY,"182-402 (even side only)",42.388985,-71.105771,1,rooftop,"182 Highland Ave",,"Somerville, MA 02143",,182,"Highland Ave",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnws32ygrv3c6l8pgart48mujuq4,building_centroid
"220 Highland Avenue, Somerville MA","Highland Avenue",220,KENNEDY,"182-402 (even side only)",42.390102,-71.108244,1,rooftop,"220 Highland Ave",,"Somerville, MA 02143",,220,"Highland Ave",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnws32ygrv3c6l8442ypsm7ufqz9,building_centroid
"256 Highland Avenue, Somerville MA","Highland Avenue",256,KENNEDY,"182-402 (even side only)",42.391485,-71.110427,1,range_interpolation,"256 Highland Ave",,"Somerville, MA 02143",,256,"Highland Ave",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnws32ygrv3c6l87hf5mpml946y3,
"292 Highland Avenue, Somerville MA","Highland Avenue",292,KENNEDY,"182-402 (even side only)",42.392215,-71.112939,1,rooftop,"292 Highland Ave",,"Somerville, MA 02144",,292,"Highland Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnv73yttdzbk39d6s2yzqqshhb25,building_centroid
"330 Highland Avenue, Somerville MA","Highland Avenue",330,KENNEDY,"182-402 (even side only)",42.393412,-71.115687,1,rooftop,"330 Highland Ave",,"Somerville, MA 02144",,330,"Highland Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnv73yttdzbk39dnld8q995pswjf,building_centroid
"366 Highland Avenue, Somerville MA","Highland Avenue",366,KENNEDY,"182-402 (even side only)",42.394531,-71.118267,1,rooftop,"366 Highland Ave",,"Somerville, MA 02144",,366,"Highland Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnv73yttdzbk39dqbas75d4pefhb,building_centroid
"402 Highland Avenue, Somerville MA","Highland Avenue",402,KENNEDY,"182-402 (even side only)",42.395663,-71.121056,1,rooftop,"402 Highland Ave",,"Somerville, MA 02144",,402,"Highland Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnv73yttdzbk39deytpc2e82k9gc,building_centroid
"1 Cedar Street, Somerville MA","Cedar Street",1,KENNEDY,1-105,42.388018,-71.115194,1,rooftop,"1 Cedar St",,"Somerville, MA 02143",,1,"Cedar St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnfs5y6uykd2l3b2nyc5fz8h8657,building_centroid
"18 Cedar Street, Somerville MA","Cedar Street",18,KENNEDY,1-105,42.388612,-71.114778,1,range_interpolation,"18 Cedar St",,"Somerville, MA 02143",,18,"Cedar St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnfs5y6uykd2l3bwetqcmepwavm8,
"36 Cedar Street, Somerville MA","Cedar Street",36,KENNEDY,1-105,42.389304,-71.114253,1,range_interpolation,"36 Cedar St",,"Somerville, MA 02143",,36,"Cedar St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnfs5y6uykd2l3brlnua4mnr7fqg,
