address,street,num,school,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"236 Beacon Street, Somerville MA","Beacon Street",236,KENNEDY,42.381899,-71.11059,1,range_interpolation,"236 Beacon St",,"Somerville, MA 02143",,236,"Beacon St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usn69k52tyttapvhbmwa367lxgca4,
"264 Beacon Street, Somerville MA","Beacon Street",264,KENNEDY,42.382764,-71.111673,1,range_interpolation,"264 Beacon St",,"Somerville, MA 02143",,264,"Beacon St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usn69k52tyttapvhwnhz5flns5m8g,
"291 Beacon Street, Somerville MA","Beacon Street",291,KENNEDY,42.383621,-71.11269,1,rooftop,"291 Beacon St",,"Somerville, MA 02143",,291,"Beacon St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn69k52tyttapvhvryf6ss7je466,building_centroid
"319 Beacon Street, Somerville MA","Beacon Street",319,KENNEDY,42.384658,-71.113867,1,rooftop,"319 Beacon St",,"Somerville, MA 02143",,319,"Beacon St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn69k52tyttapvh6czt9db9yud5f,building_centroid
"346 Beacon Street, Somerville MA","Beacon Street",346,KENNEDY,42.385509,-71.114953,0.91,nearest_rooftop_match,"345 Beacon St",,"Somerville, MA 02143",,345,"Beacon St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn69k52tyttapvhcgr4h3a4tcet4,building_centroid
"374 Beacon Street, Somerville MA","Beacon Street",374,KENNEDY,42.385944,-71.115596,1,range_interpolation,"374 Beacon St",,"Somerville, MA 02143",,374,"Beacon St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usn69k52tyttapvhp4ny8ztec83f7,
"93 Hudson Street, Somerville MA","Hudson Street",93,KENNEDY,42.390969,-71.107626,1,rooftop,"93 Hudson St",,"Somerville, MA 02144",,93,"Hudson St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnbtx6q6q4musm5xvnl9zarrmm53,building_centroid
"116 Hudson Street, Somerville MA","Hudson Street",116,KENNEDY,42.391175,-71.108876,1,rooftop,"116 Hudson St",,"Somerville, MA 02144",,116,"Hudson St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnbtx6q6q4musm5jh7dlrf3ns2ja,building_centroid
"139 Hudson Street, Somerville MA","Hudson Street",139,KENNEDY,42.392016,-71.109742,1,rooftop,"139 Hudson St",,"Somerville, MA 02144",,139,"Hudson St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnbtx6q6q4musm5dl4kr74cf74rg,building_centroid
"162 Hudson Street, Somerville MA","Hudson Street",162,KENNEDY,42.392313,-71.110503,1,range_interpolation,"162 Hudson St",,"Somerville, MA 02144",,162,"Hudson St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usnbtx6q6q4musm523sbcgg8cj59h,
"185 Hudson Street, Somerville MA","Hudson Street",185,KENNEDY,42.392839,-71.111765,1,rooftop,"185 Hudson St",,"Somerville, MA 02144",,185,"Hudson St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnbtx6q6q4musm5jzl3ls356lxb2,building_centroid
"583 Somerville Avenue, Somerville MA","Somerville Avenue",583,KENNEDY,42.383926,-71.1086,1,rooftop,"583 Somerville Ave",,"Somerville, MA 02143",,583,"Somerville Ave",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usneue8k7lxcytre3psv9equfr6qd,building_centroid
"606 Somerville Avenue, Somerville MA","Somerville Avenue",606,KENNEDY,42.384146,-71.109908,1,range_interpolation,"606 Somerville Ave",,"Somerville, MA 02143",,606,"Somerville Ave",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usneue8k7lxcytre82dk4pcmxvpw5,
"629 Somerville Avenue, Somerville MA","Somerville Avenue",629,KENNEDY,42.384476,-71.110382,1,rooftop,"629 Somerville Ave",,"Somerville, MA 02143",,629,"Somerville Ave",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usneue8k7lxcytrezm2tpegbn7e73,building_centroid
"652 Somerville Avenue, Somerville MA","Somerville Avenue",652,KENNEDY,42.384474,-71.111992,1,rooftop,"652 Somerville Ave",,"Somerville, MA 02143",,652,"Somerville Ave",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usneue8k7lxcytrela3efcauvgx4f,building_centroid
"675 Somerville Avenue, Somerville MA","Somerville Avenue",675,KENNEDY,42.3853,-71.112527,1,rooftop,"675 Somerville Ave",,"Somerville, MA 02143",,675,"Somerville Ave",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usneue8k7lxcytredlxbmv4upbk48,building_centroid
"1 Lowell Street, Somerville MA","Lowell Street",1,KENNEDY,42.385009,-71.111808,0.89,nearest_rooftop_match,"10 Lowell St",,"Somerville, MA 02143",,10,"Lowell St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnff45rg4jhp3paywvqqbhkma5x4,building_centroid
"48 Lowell Street, Somerville MA","Lowell Street",48,KENNEDY,42.386212,-71.110958,1,rooftop,"48 Lowell St",,"Somerville, MA 02143",,48,"Lowell St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnff45rg4jhp3pajwh2p894j5lza,building_centroid
"95 Lowell Street, Somerville MA","Lowell Street",95,KENNEDY,42.387539,-71.109623,1,rooftop,"95 Lowell St",,"Somerville, MA 02143",,95,"Lowell St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnff45rg4jhp3paqdr55qbxeswc3,building_centroid
"141 Lowell Street, Somerville MA","Lowell Street",141,KENNEDY,42.388984,-71.108986,1,range_interpolation,"141 Lowell St",,"Somerville, MA 02143",,141,"Lowell St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnff45rg4jhp3pa7df4n3z54smhc,
"188 Lowell Street, Somerville MA","Lowell Street",188,KENNEDY,42.39059,-71.107892,1,rooftop,"188 Lowell St",,"Somerville, MA 02144",,188,"Lowell St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnkjvd89xd8cfb26bz6tqgmbs293,building_centroid
"235 Lowell Street, Somerville MA","Lowell Street",235,KENNEDY,42.39203,-71.106407,1,rooftop,"235 Lowell St",,"Somerville, MA 02144",,235,"Lowell St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnff45rg4jhp3pay3lhtujse7vf6,building_centroid
