address,street,num,school
"1 Kenwood Street, Somerville MA",Kenwood Street,1,WEST SOMERVILLE
"18 Kenwood Street, Somerville MA",Kenwood Street,18,WEST SOMERVILLE
"3 Thorndike Street, Somerville MA",Thorndike Street,3,WEST SOMERVILLE
"20 Thorndike Street, Somerville MA",Thorndike Street,20,WEST SOMERVILLE
"36 Thorndike Street, Somerville MA",Thorndike Street,36,WEST SOMERVILLE
"9 Winter Street, Somerville MA",Winter Street,9,WEST SOMERVILLE
"31 Winter Street, Somerville MA",Winter Street,31,WEST SOMERVILLE
"7 Jay Street, Somerville MA",Jay Street,7,WEST SOMERVILLE
"23 Jay Street, Somerville MA",Jay Street,23,WEST SOMERVILLE
"39 Jay Street, Somerville MA",Jay Street,39,WEST SOMERVILLE
"6 Bailey Street, Somerville MA",Bailey Street,6,WEST SOMERVILLE
"27 Bailey Street, Somerville MA",Bailey Street,27,WEST SOMERVILLE
"7 Mason Street, Somerville MA",Mason Street,7,WEST SOMERVILLE
"27 Mason Street, Somerville MA",Mason Street,27,WEST SOMERVILLE
"47 Mason Street, Somerville MA",Mason Street,47,WEST SOMERVILLE
"7 Mardell Circle, Somerville MA",Mardell Circle,7,KENNEDY
"5 Upland Road, Somerville MA",Upland Road,5,WEST SOMERVILLE
"32 Upland Road, Somerville MA",Upland Road,32,WEST SOMERVILLE
"58 Upland Road, Somerville MA",Upland Road,58,WEST SOMERVILLE
"6 Hillside Circle, Somerville MA",Hillside Circle,6,KENNEDY
"7 Ware Street, Somerville MA",Ware Street,7,WEST SOMERVILLE
"28 Ware Street, Somerville MA",Ware Street,28,WEST SOMERVILLE
"48 Ware Street, Somerville MA",Ware Street,48,WEST SOMERVILLE
"2 West Street, Somerville MA",West Street,2,KENNEDY
"12 West Street, Somerville MA",West Street,12,KENNEDY
"5 Adams Street, Somerville MA",Adams Street,5,WINTER HILL
"27 Adams Street, Somerville MA",Adams Street,27,WINTER HILL
"49 Adams Street, Somerville MA",Adams Street,49,WINTER HILL
"71 Adams Street, Somerville MA",Adams Street,71,WINTER HILL
"7 Ames Street, Somerville MA",Ames Street,7,WINTER HILL
"24 Ames Street, Somerville MA",Ames Street,24,WINTER HILL
"41 Ames Street, Somerville MA",Ames Street,41,WINTER HILL
"1 Essex Street, Somerville MA",Essex Street,1,WINTER HILL
"14 Essex Street, Somerville MA",Essex Street,14,WINTER HILL
"5 Richardson Street, Somerville MA",Richardson Street,5,WINTER HILL
"31 Richardson Street, Somerville MA",Richardson Street,31,WINTER HILL
