address,street,num,school,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"1 Kenwood Street, Somerville MA","Kenwood Street",1,"WEST SOMERVILLE",42.400292,-71.119317,1,rooftop,"1 Kenwood St",,"Somerville, MA 02144",,1,"Kenwood St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnqbgyx4t79rsleesr7ddmfmnwr2,building_centroid
"18 Kenwood Street, Somerville MA","Kenwood Street",18,"WEST SOMERVILLE",42.40019,-71.118429,1,rooftop,"18 Kenwood St",,"Somerville, MA 02144",,18,"Kenwood St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnqbgyx4t79rsle8jbvjcw7t9339,building_centroid
"3 Thorndike Street, Somerville MA","Thorndike Street",3,"WEST SOMERVILLE",42.398454,-71.124519,1,rooftop,"3 Thorndike St",,"Somerville, MA 02144",,3,"Thorndike St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnb7cnqj7zn62qhbay46j5gum987,building_centroid
"20 Thorndike Street, Somerville MA","Thorndike Street",20,"WEST SOMERVILLE",42.397903,-71.12471,1,rooftop,"20 Thorndike St",,"Somerville, MA 02144",,20,"Thorndike St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnb7cnqj7zn62qhcxb9nh7jeqlx4,building_centroid
"36 Thorndike Street, Somerville MA","Thorndike Street",36,"WEST SOMERVILLE",42.397578,-71.125242,1,rooftop,"36 Thorndike St",,"Somerville, MA 02144",,36,"Thorndike St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnb7cnqj7zn62qhrp48ghfyy3np7,building_centroid
"9 Winter Street, Somerville MA","Winter Street",9,"WEST SOMERVILLE",42.39694,-71.12214,1,range_interpolation,"9 Winter St",,"Somerville, MA 02144",,9,"Winter St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usn3vv9eyzpane2cg4vghr3xe8537,
"31 Winter Street, Somerville MA","Winter Street",31,"WEST SOMERVILLE",42.397788,-71.123215,1,rooftop,"31 Winter St",,"Somerville, MA 02144",,31,"Winter St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn3vv9eyzpane2cyl29mc5usmb2f,building_centroid
"7 Jay Street, Somerville MA","Jay Street",7,"WEST SOMERVILLE",42.399004,-71.125123,1,rooftop,"7 Jay St",,"Somerville, MA 02144",,7,"Jay St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn42zfzfuk2aep5c9cdfezyeckhd,building_centroid
"23 Jay Street, Somerville MA","Jay Street",23,"WEST SOMERVILLE",42.398573,-71.125541,1,rooftop,"23 Jay St",,"Somerville, MA 02144",,23,"Jay St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn42zfzfuk2aep58jaj392mshhg2,building_centroid
"39 Jay Street, Somerville MA","Jay Street",39,"WEST SOMERVILLE",42.398112,-71.125954,1,rooftop,"39 Jay St",,"Somerville, MA 02144",,39,"Jay St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn42zfzfuk2aep5t4unlsvluz3q6,building_centroid
"6 Bailey Street, Somerville MA","Bailey Street",6,"WEST SOMERVILLE",42.409245,-71.12771,1,rooftop,"6 Bailey St",,"Somerville, MA 02144",,6,"Bailey St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnxrypuw4gt8akh9hbaprd93juq2,building_centroid
"27 Bailey Street, Somerville MA","Bailey Street",27,"WEST SOMERVILLE",42.409717,-71.128178,1,rooftop,"27 Bailey St",,"Somerville, MA 02144",,27,"Bailey St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnxrypuw4gt8akhq32wqanm8xz97,building_centroid
"7 Mason Street, Somerville MA","Mason Street",7,"WEST SOMERVILLE",42.40189,-71.122177,1,rooftop,"7 Mason St",,"Somerville, MA 02144",,7,"Mason St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnqxcl64qp3dbx2kyt8qhqkxwf9f,building_centroid
"27 Mason Street, Somerville MA","Mason Street",27,"WEST SOMERVILLE",42.402301,-71.12187,1,rooftop,"27 Mason St",,"Somerville, MA 02144",,27,"Mason St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnqxcl64qp3dbx2b8kh2rphb8hah,building_centroid
"47 Mason Street, Somerville MA","Mason Street",47,"WEST SOMERVILLE",42.402931,-71.121417,1,rooftop,"47 Mason St",,"Somerville, MA 02144",,47,"Mason St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnqxcl64qp3dbx268lfb6c7j5fyd,building_centroid
