street,left_from,left_to,right_from,right_to,zip_left,zip_right
Puritan Rd,54,198,53,199,02145,02145
Ten Hills Rd,26,40,nan,nan,02145,nan
Puritan Rd,2,52,1,51,02145,02145
Putnam Rd,42,98,41,99,02145,02145
Ten Hills Rd,42,56,nan,nan,02145,nan
Putnam Rd,2,40,1,39,02145,02145
Ten Hills Rd,94,110,95,105,02145,02145
Ten Hills Rd,130,198,125,199,02145,02145
Ten Hills Rd,112,128,107,123,02145,02145
Ten Hills Rd,58,92,1,93,02145,02145
Crest Hill Rd,2,98,1,99,02145,02145
Melville Rd,2,98,1,99,02145,02145
Fellsway W,44,298,201,299,02145,02145
Jaques St,2,10,1,9,02145,02145
Wheatland St,58,198,65,99,02145,02145
Mystic Ave,308,360,nan,nan,02145,nan
Temple Rd,2,198,1,199,02145,02145
Shore Dr,192,198,143,199,02145,02145
Mystic Ave,208,222,201,243,02145,02145
Cummings St,2,98,1,99,02145,02145
Kensington Ave,76,98,77,99,02145,02145
McGrath Hwy,nan,nan,693,799,nan,02145
Fellsway W,2,42,1,199,02145,02145
Mc Grath Hwy,700,898,801,899,02145,02145
Rush St,62,98,63,99,02145,02145
Flint St,44,58,43,53,02145,02145
Cross St,82,96,77,89,02145,02145
Cross St,54,80,71,75,02145,02145
Pearl St,116,128,nan,nan,02145,nan
Newman Pl,2,98,1,99,02145,02145
Lowell St,nan,nan,235,257,nan,02144
Alpine St,58,70,57,71,02144,02144
Broadway,nan,nan,521,563,nan,02145
Charles E Ryan Rd,2,98,1,49,02145,02145
Franey Rd,2,98,1,99,02145,02145
Charles E Ryan Rd,nan,nan,51,61,nan,02145
Charles E Ryan Rd,nan,nan,63,73,nan,02145
Charles E Ryan Rd,nan,nan,75,85,nan,02145
Berwick St,2,98,1,99,02145,02145
Hinckley St,80,98,81,99,02145,02145
Broadway,500,504,nan,nan,02145,nan
Dearborn Rd,2,10,1,7,02144,02144
Dearborn Rd,20,98,21,63,02144,02144
Mason St,nan,nan,43,99,nan,02144
Ossipee Rd,2,50,1,49,02144,02144
Packard Ave,nan,nan,53,73,nan,02144
Mason St,2,98,33,41,02144,02144
Electric Ave,2,66,1,65,02144,02144
Packard Ave,36,58,35,51,02144,02144
Burnham St,2,98,1,99,02144,02144
Broadway,976,990,977,983,02144,02144
Broadway,992,998,985,997,02144,02144
Mason St,nan,nan,1,9,nan,02144
Mason St,nan,nan,11,31,nan,02144
Simpson Ave,28,98,29,99,02144,02144
Cady Ave,17,99,15,1,02144,02144
Cady Ave,2,98,nan,nan,02144,nan
Corinthian Rd,2,98,1,99,02144,02144
Broadway,1000,1012,999,1009,02144,02144
Broadway,952,974,945,967,02144,02144
Wallace St,16,198,17,199,02144,02144
Wallace St,2,14,1,15,02144,02144
Holland St,42,76,53,75,02144,02144
Irving St,2,98,1,99,02144,02144
Orchard St,100,112,101,111,02144,02144
College Ave,nan,nan,1,21,nan,02144
Holland St,nan,nan,1,37,nan,02144
Winter St,12-00,12-98,1,99,02144,02144
Winter St,2,98,nan,nan,02144,nan
College Ave,2,18,nan,nan,02144,nan
Davis Sq,99,1,2,98,02144,02144
Park Ave,2,12,1,11,02144,02144
College Ave,20,24,23,29,02144,02144
Holland St,nan,nan,39,51,nan,02144
Park Ave,14,98,13,99,02144,02144
Elm Ct,2,98,1,99,02144,02144
Winslow Ave,2,20,1,21,02144,02144
Chandler St,64,98,65,99,02144,02144
Chandler St,40,62,53,63,02144,02144
Chandler St,2,38,1,51,02144,02144
Broadway,932,950,923,943,02144,02144
College Ave,50,66,37,69,02144,02144
College Ave,26,48,31,35,02144,02144
Chapel St,2,98,1,99,02144,02144
Cottage Ave,2,12,1,11,02144,02144
Russell St,35,47,38,98,02144,02140
Cottage Cir,1,99,98,2,02144,02144
Grove St,30,42,nan,nan,02144,nan
Highland Ave,400,498,399,499,02144,02144
Grove St,2,28,nan,nan,02144,nan
Elm St,214,244,nan,nan,02144,nan
Elm St,246,298,227,299,02144,02144
Day St,101,199,100,198,02144,02144
Chester St,55,99,nan,nan,02144,nan
Herbert St,99,1,98,2,02144,02144
Day St,nan,nan,58,98,nan,02144
Bowers Ave,2,98,1,99,02144,02144
Cottage Ave,22,98,21,99,02144,02144
Chester St,41,53,44,98,02144,02144
