address,street,num,school,range_low,range_high
"2 Alewife Brook Pkwy, Somerville MA",Alewife Brook Pkwy,2,WEST SOMERVILLE,2,499
"85 Alewife Brook Pkwy, Somerville MA",Alewife Brook Pkwy,85,WEST SOMERVILLE,2,499
"168 Alewife Brook Pkwy, Somerville MA",Alewife Brook Pkwy,168,WEST SOMERVILLE,2,499
"250 Alewife Brook Pkwy, Somerville MA",Alewife Brook Pkwy,250,WEST SOMERVILLE,2,499
"333 Alewife Brook Pkwy, Somerville MA",Alewife Brook Pkwy,333,WEST SOMERVILLE,2,499
"416 Alewife Brook Pkwy, Somerville MA",Alewife Brook Pkwy,416,WEST SOMERVILLE,2,499
"499 Alewife Brook Pkwy, Somerville MA",Alewife Brook Pkwy,499,WEST SOMERVILLE,2,499
"1 Bailey Street, Somerville MA",Bailey Street,1,WEST SOMERVILLE,1,99
"26 Bailey Street, Somerville MA",Bailey Street,26,WEST SOMERVILLE,1,99
"50 Bailey Street, Somerville MA",Bailey Street,50,WEST SOMERVILLE,1,99
"74 Bailey Street, Somerville MA",Bailey Street,74,WEST SOMERVILLE,1,99
"99 Bailey Street, Somerville MA",Bailey Street,99,WEST SOMERVILLE,1,99
"1 Barton Street, Somerville MA",Barton Street,1,WEST SOMERVILLE,1,99
"26 Barton Street, Somerville MA",Barton Street,26,WEST SOMERVILLE,1,99
"50 Barton Street, Somerville MA",Barton Street,50,WEST SOMERVILLE,1,99
"74 Barton Street, Somerville MA",Barton Street,74,WEST SOMERVILLE,1,99
"99 Barton Street, Somerville MA",Barton Street,99,WEST SOMERVILLE,1,99
"1 Belknap Street, Somerville MA",Belknap Street,1,WEST SOMERVILLE,1,99
"26 Belknap Street, Somerville MA",Belknap Street,26,WEST SOMERVILLE,1,99
"50 Belknap Street, Somerville MA",Belknap Street,50,WEST SOMERVILLE,1,99
"74 Belknap Street, Somerville MA",Belknap Street,74,WEST SOMERVILLE,1,99
"99 Belknap Street, Somerville MA",Belknap Street,99,WEST SOMERVILLE,1,99
"1 Billingham Street, Somerville MA",Billingham Street,1,WEST SOMERVILLE,1,99
"26 Billingham Street, Somerville MA",Billingham Street,26,WEST SOMERVILLE,1,99
"50 Billingham Street, Somerville MA",Billingham Street,50,WEST SOMERVILLE,1,99
"74 Billingham Street, Somerville MA",Billingham Street,74,WEST SOMERVILLE,1,99
"99 Billingham Street, Somerville MA",Billingham Street,99,WEST SOMERVILLE,1,99
"1 Bromfield Road, Somerville MA",Bromfield Road,1,WEST SOMERVILLE,1,199
"34 Bromfield Road, Somerville MA",Bromfield Road,34,WEST SOMERVILLE,1,199
"67 Bromfield Road, Somerville MA",Bromfield Road,67,WEST SOMERVILLE,1,199
"100 Bromfield Road, Somerville MA",Bromfield Road,100,WEST SOMERVILLE,1,199
"133 Bromfield Road, Somerville MA",Bromfield Road,133,WEST SOMERVILLE,1,199
"166 Bromfield Road, Somerville MA",Bromfield Road,166,WEST SOMERVILLE,1,199
"199 Bromfield Road, Somerville MA",Bromfield Road,199,WEST SOMERVILLE,1,199
"1 Burnham Street, Somerville MA",Burnham Street,1,WEST SOMERVILLE,1,99
"26 Burnham Street, Somerville MA",Burnham Street,26,WEST SOMERVILLE,1,99
"50 Burnham Street, Somerville MA",Burnham Street,50,WEST SOMERVILLE,1,99
"74 Burnham Street, Somerville MA",Burnham Street,74,WEST SOMERVILLE,1,99
"99 Burnham Street, Somerville MA",Burnham Street,99,WEST SOMERVILLE,1,99
"1 Cady Avenue, Somerville MA",Cady Avenue,1,WEST SOMERVILLE,1,99
"26 Cady Avenue, Somerville MA",Cady Avenue,26,WEST SOMERVILLE,1,99
"50 Cady Avenue, Somerville MA",Cady Avenue,50,WEST SOMERVILLE,1,99
"74 Cady Avenue, Somerville MA",Cady Avenue,74,WEST SOMERVILLE,1,99
"99 Cady Avenue, Somerville MA",Cady Avenue,99,WEST SOMERVILLE,1,99
"1 Cameron Avenue, Somerville MA",Cameron Avenue,1,WEST SOMERVILLE,1,98
"25 Cameron Avenue, Somerville MA",Cameron Avenue,25,WEST SOMERVILLE,1,98
"50 Cameron Avenue, Somerville MA",Cameron Avenue,50,WEST SOMERVILLE,1,98
"74 Cameron Avenue, Somerville MA",Cameron Avenue,74,WEST SOMERVILLE,1,98
"98 Cameron Avenue, Somerville MA",Cameron Avenue,98,WEST SOMERVILLE,1,98
"1 Campbell Park, Somerville MA",Campbell Park,1,WEST SOMERVILLE,1,99
"26 Campbell Park, Somerville MA",Campbell Park,26,WEST SOMERVILLE,1,99
"50 Campbell Park, Somerville MA",Campbell Park,50,WEST SOMERVILLE,1,99
"74 Campbell Park, Somerville MA",Campbell Park,74,WEST SOMERVILLE,1,99
"99 Campbell Park, Somerville MA",Campbell Park,99,WEST SOMERVILLE,1,99
"1 Campbell Park Place, Somerville MA",Campbell Park Place,1,WEST SOMERVILLE,1,99
"26 Campbell Park Place, Somerville MA",Campbell Park Place,26,WEST SOMERVILLE,1,99
"50 Campbell Park Place, Somerville MA",Campbell Park Place,50,WEST SOMERVILLE,1,99
"74 Campbell Park Place, Somerville MA",Campbell Park Place,74,WEST SOMERVILLE,1,99
"99 Campbell Park Place, Somerville MA",Campbell Park Place,99,WEST SOMERVILLE,1,99
"1 Capen Court, Somerville MA",Capen Court,1,WEST SOMERVILLE,1,99
"26 Capen Court, Somerville MA",Capen Court,26,WEST SOMERVILLE,1,99
"50 Capen Court, Somerville MA",Capen Court,50,WEST SOMERVILLE,1,99
"74 Capen Court, Somerville MA",Capen Court,74,WEST SOMERVILLE,1,99
"99 Capen Court, Somerville MA",Capen Court,99,WEST SOMERVILLE,1,99
"1 Capen Street, Somerville MA",Capen Street,1,WEST SOMERVILLE,1,199
"34 Capen Street, Somerville MA",Capen Street,34,WEST SOMERVILLE,1,199
"67 Capen Street, Somerville MA",Capen Street,67,WEST SOMERVILLE,1,199
"100 Capen Street, Somerville MA",Capen Street,100,WEST SOMERVILLE,1,199
"133 Capen Street, Somerville MA",Capen Street,133,WEST SOMERVILLE,1,199
"166 Capen Street, Somerville MA",Capen Street,166,WEST SOMERVILLE,1,199
"199 Capen Street, Somerville MA",Capen Street,199,WEST SOMERVILLE,1,199
"1 Chandler Street, Somerville MA",Chandler Street,1,WEST SOMERVILLE,1,99
"26 Chandler Street, Somerville MA",Chandler Street,26,WEST SOMERVILLE,1,99
"50 Chandler Street, Somerville MA",Chandler Street,50,WEST SOMERVILLE,1,99
"74 Chandler Street, Somerville MA",Chandler Street,74,WEST SOMERVILLE,1,99
"99 Chandler Street, Somerville MA",Chandler Street,99,WEST SOMERVILLE,1,99
"1 Chapel Street, Somerville MA",Chapel Street,1,WEST SOMERVILLE,1,99
"26 Chapel Street, Somerville MA",Chapel Street,26,WEST SOMERVILLE,1,99
"50 Chapel Street, Somerville MA",Chapel Street,50,WEST SOMERVILLE,1,99
"74 Chapel Street, Somerville MA",Chapel Street,74,WEST SOMERVILLE,1,99
"99 Chapel Street, Somerville MA",Chapel Street,99,WEST SOMERVILLE,1,99
"1 Chetwynd Road, Somerville MA",Chetwynd Road,1,WEST SOMERVILLE,1,99
"26 Chetwynd Road, Somerville MA",Chetwynd Road,26,WEST SOMERVILLE,1,99
"50 Chetwynd Road, Somerville MA",Chetwynd Road,50,WEST SOMERVILLE,1,99
"74 Chetwynd Road, Somerville MA",Chetwynd Road,74,WEST SOMERVILLE,1,99
"99 Chetwynd Road, Somerville MA",Chetwynd Road,99,WEST SOMERVILLE,1,99
"1 Clarendon Avenue, Somerville MA",Clarendon Avenue,1,WEST SOMERVILLE,1,99
"26 Clarendon Avenue, Somerville MA",Clarendon Avenue,26,WEST SOMERVILLE,1,99
"50 Clarendon Avenue, Somerville MA",Clarendon Avenue,50,WEST SOMERVILLE,1,99
"74 Clarendon Avenue, Somerville MA",Clarendon Avenue,74,WEST SOMERVILLE,1,99
"99 Clarendon Avenue, Somerville MA",Clarendon Avenue,99,WEST SOMERVILLE,1,99
"1 Claremon Street, Somerville MA",Claremon Street,1,WEST SOMERVILLE,1,99
"26 Claremon Street, Somerville MA",Claremon Street,26,WEST SOMERVILLE,1,99
"50 Claremon Street, Somerville MA",Claremon Street,50,WEST SOMERVILLE,1,99
"74 Claremon Street, Somerville MA",Claremon Street,74,WEST SOMERVILLE,1,99
"99 Claremon Street, Somerville MA",Claremon Street,99,WEST SOMERVILLE,1,99
"1 College Hill Road, Somerville MA",College Hill Road,1,WEST SOMERVILLE,1,99
"26 College Hill Road, Somerville MA",College Hill Road,26,WEST SOMERVILLE,1,99
"50 College Hill Road, Somerville MA",College Hill Road,50,WEST SOMERVILLE,1,99
"74 College Hill Road, Somerville MA",College Hill Road,74,WEST SOMERVILLE,1,99
"99 College Hill Road, Somerville MA",College Hill Road,99,WEST SOMERVILLE,1,99
"1 Conwell Avenue, Somerville MA",Conwell Avenue,1,WEST SOMERVILLE,1,199
"34 Conwell Avenue, Somerville MA",Conwell Avenue,34,WEST SOMERVILLE,1,199
"67 Conwell Avenue, Somerville MA",Conwell Avenue,67,WEST SOMERVILLE,1,199
"100 Conwell Avenue, Somerville MA",Conwell Avenue,100,WEST SOMERVILLE,1,199
"133 Conwell Avenue, Somerville MA",Conwell Avenue,133,WEST SOMERVILLE,1,199
"166 Conwell Avenue, Somerville MA",Conwell Avenue,166,WEST SOMERVILLE,1,199
"199 Conwell Avenue, Somerville MA",Conwell Avenue,199,WEST SOMERVILLE,1,199
"1 Corinthian Road, Somerville MA",Corinthian Road,1,WEST SOMERVILLE,1,99
"26 Corinthian Road, Somerville MA",Corinthian Road,26,WEST SOMERVILLE,1,99
"50 Corinthian Road, Somerville MA",Corinthian Road,50,WEST SOMERVILLE,1,99
"74 Corinthian Road, Somerville MA",Corinthian Road,74,WEST SOMERVILLE,1,99
"99 Corinthian Road, Somerville MA",Corinthian Road,99,WEST SOMERVILLE,1,99
"1 Curtis Avenue, Somerville MA",Curtis Avenue,1,WEST SOMERVILLE,1,99
"26 Curtis Avenue, Somerville MA",Curtis Avenue,26,WEST SOMERVILLE,1,99
"50 Curtis Avenue, Somerville MA",Curtis Avenue,50,WEST SOMERVILLE,1,99
"74 Curtis Avenue, Somerville MA",Curtis Avenue,74,WEST SOMERVILLE,1,99
"99 Curtis Avenue, Somerville MA",Curtis Avenue,99,WEST SOMERVILLE,1,99
"1 Curtis Street, Somerville MA",Curtis Street,1,WEST SOMERVILLE,1,199
"34 Curtis Street, Somerville MA",Curtis Street,34,WEST SOMERVILLE,1,199
"67 Curtis Street, Somerville MA",Curtis Street,67,WEST SOMERVILLE,1,199
"100 Curtis Street, Somerville MA",Curtis Street,100,WEST SOMERVILLE,1,199
"133 Curtis Street, Somerville MA",Curtis Street,133,WEST SOMERVILLE,1,199
"166 Curtis Street, Somerville MA",Curtis Street,166,WEST SOMERVILLE,1,199
"199 Curtis Street, Somerville MA",Curtis Street,199,WEST SOMERVILLE,1,199
"1 Davis Square, Somerville MA",Davis Square,1,WEST SOMERVILLE,1,99
"26 Davis Square, Somerville MA",Davis Square,26,WEST SOMERVILLE,1,99
"50 Davis Square, Somerville MA",Davis Square,50,WEST SOMERVILLE,1,99
"74 Davis Square, Somerville MA",Davis Square,74,WEST SOMERVILLE,1,99
"99 Davis Square, Somerville MA",Davis Square,99,WEST SOMERVILLE,1,99
"14 Day Street, Somerville MA",Day Street,14,WEST SOMERVILLE,14,199
"45 Day Street, Somerville MA",Day Street,45,WEST SOMERVILLE,14,199
"76 Day Street, Somerville MA",Day Street,76,WEST SOMERVILLE,14,199
"106 Day Street, Somerville MA",Day Street,106,WEST SOMERVILLE,14,199
"137 Day Street, Somerville MA",Day Street,137,WEST SOMERVILLE,14,199
"168 Day Street, Somerville MA",Day Street,168,WEST SOMERVILLE,14,199
"199 Day Street, Somerville MA",Day Street,199,WEST SOMERVILLE,14,199
"1 Dearborn Road, Somerville MA",Dearborn Road,1,WEST SOMERVILLE,1,99
"26 Dearborn Road, Somerville MA",Dearborn Road,26,WEST SOMERVILLE,1,99
"50 Dearborn Road, Somerville MA",Dearborn Road,50,WEST SOMERVILLE,1,99
"74 Dearborn Road, Somerville MA",Dearborn Road,74,WEST SOMERVILLE,1,99
"99 Dearborn Road, Somerville MA",Dearborn Road,99,WEST SOMERVILLE,1,99
"1 Dickson Street, Somerville MA",Dickson Street,1,WEST SOMERVILLE,1,99
"26 Dickson Street, Somerville MA",Dickson Street,26,WEST SOMERVILLE,1,99
"50 Dickson Street, Somerville MA",Dickson Street,50,WEST SOMERVILLE,1,99
"74 Dickson Street, Somerville MA",Dickson Street,74,WEST SOMERVILLE,1,99
"99 Dickson Street, Somerville MA",Dickson Street,99,WEST SOMERVILLE,1,99
"45 Dover Street, Somerville MA",Dover Street,45,WEST SOMERVILLE,45,199
"71 Dover Street, Somerville MA",Dover Street,71,WEST SOMERVILLE,45,199
"96 Dover Street, Somerville MA",Dover Street,96,WEST SOMERVILLE,45,199
"122 Dover Street, Somerville MA",Dover Street,122,WEST SOMERVILLE,45,199
"148 Dover Street, Somerville MA",Dover Street,148,WEST SOMERVILLE,45,199
"173 Dover Street, Somerville MA",Dover Street,173,WEST SOMERVILLE,45,199
"199 Dover Street, Somerville MA",Dover Street,199,WEST SOMERVILLE,45,199
"1 Dow Street, Somerville MA",Dow Street,1,WEST SOMERVILLE,1,99
"26 Dow Street, Somerville MA",Dow Street,26,WEST SOMERVILLE,1,99
"50 Dow Street, Somerville MA",Dow Street,50,WEST SOMERVILLE,1,99
"74 Dow Street, Somerville MA",Dow Street,74,WEST SOMERVILLE,1,99
"99 Dow Street, Somerville MA",Dow Street,99,WEST SOMERVILLE,1,99
"1 Electric Avenue, Somerville MA",Electric Avenue,1,WEST SOMERVILLE,1,199
"34 Electric Avenue, Somerville MA",Electric Avenue,34,WEST SOMERVILLE,1,199
"67 Electric Avenue, Somerville MA",Electric Avenue,67,WEST SOMERVILLE,1,199
"100 Electric Avenue, Somerville MA",Electric Avenue,100,WEST SOMERVILLE,1,199
"133 Electric Avenue, Somerville MA",Electric Avenue,133,WEST SOMERVILLE,1,199
"166 Electric Avenue, Somerville MA",Electric Avenue,166,WEST SOMERVILLE,1,199
"199 Electric Avenue, Somerville MA",Electric Avenue,199,WEST SOMERVILLE,1,199
"1 Elmwood Street, Somerville MA",Elmwood Street,1,WEST SOMERVILLE,1,99
"26 Elmwood Street, Somerville MA",Elmwood Street,26,WEST SOMERVILLE,1,99
"50 Elmwood Street, Somerville MA",Elmwood Street,50,WEST SOMERVILLE,1,99
"74 Elmwood Street, Somerville MA",Elmwood Street,74,WEST SOMERVILLE,1,99
"99 Elmwood Street, Somerville MA",Elmwood Street,99,WEST SOMERVILLE,1,99
"1 Elmwood Terrace, Somerville MA",Elmwood Terrace,1,WEST SOMERVILLE,1,99
"26 Elmwood Terrace, Somerville MA",Elmwood Terrace,26,WEST SOMERVILLE,1,99
"50 Elmwood Terrace, Somerville MA",Elmwood Terrace,50,WEST SOMERVILLE,1,99
"74 Elmwood Terrace, Somerville MA",Elmwood Terrace,74,WEST SOMERVILLE,1,99
"99 Elmwood Terrace, Somerville MA",Elmwood Terrace,99,WEST SOMERVILLE,1,99
"1 Endicott Avenue, Somerville MA",Endicott Avenue,1,WEST SOMERVILLE,1,99
"26 Endicott Avenue, Somerville MA",Endicott Avenue,26,WEST SOMERVILLE,1,99
"50 Endicott Avenue, Somerville MA",Endicott Avenue,50,WEST SOMERVILLE,1,99
"74 Endicott Avenue, Somerville MA",Endicott Avenue,74,WEST SOMERVILLE,1,99
"99 Endicott Avenue, Somerville MA",Endicott Avenue,99,WEST SOMERVILLE,1,99
"1 Fairfax Street, Somerville MA",Fairfax Street,1,WEST SOMERVILLE,1,99
"26 Fairfax Street, Somerville MA",Fairfax Street,26,WEST SOMERVILLE,1,99
"50 Fairfax Street, Somerville MA",Fairfax Street,50,WEST SOMERVILLE,1,99
"74 Fairfax Street, Somerville MA",Fairfax Street,74,WEST SOMERVILLE,1,99
"99 Fairfax Street, Somerville MA",Fairfax Street,99,WEST SOMERVILLE,1,99
"1 Fairmount Avenue, Somerville MA",Fairmount Avenue,1,WEST SOMERVILLE,1,99
"26 Fairmount Avenue, Somerville MA",Fairmount Avenue,26,WEST SOMERVILLE,1,99
"50 Fairmount Avenue, Somerville MA",Fairmount Avenue,50,WEST SOMERVILLE,1,99
"74 Fairmount Avenue, Somerville MA",Fairmount Avenue,74,WEST SOMERVILLE,1,99
"99 Fairmount Avenue, Somerville MA",Fairmount Avenue,99,WEST SOMERVILLE,1,99
"1 Farragut Avenue, Somerville MA",Farragut Avenue,1,WEST SOMERVILLE,1,99
"26 Farragut Avenue, Somerville MA",Farragut Avenue,26,WEST SOMERVILLE,1,99
"50 Farragut Avenue, Somerville MA",Farragut Avenue,50,WEST SOMERVILLE,1,99
"74 Farragut Avenue, Somerville MA",Farragut Avenue,74,WEST SOMERVILLE,1,99
"99 Farragut Avenue, Somerville MA",Farragut Avenue,99,WEST SOMERVILLE,1,99
"1 Garrison Avenue, Somerville MA",Garrison Avenue,1,WEST SOMERVILLE,1,99
"26 Garrison Avenue, Somerville MA",Garrison Avenue,26,WEST SOMERVILLE,1,99
"50 Garrison Avenue, Somerville MA",Garrison Avenue,50,WEST SOMERVILLE,1,99
"74 Garrison Avenue, Somerville MA",Garrison Avenue,74,WEST SOMERVILLE,1,99
