address,street,num,school,range_low,range_high,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio Address Line 4,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State / Province,Geocodio Nation,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Building Name,Geocodio Source,Geocodio Stable Address Key,Geocodio Match Type
"2 Alewife Brook Pkwy, Somerville MA",Alewife Brook Pkwy,2,WEST SOMERVILLE,2,499,42.401585,-71.135233,0.83,range_interpolation,2 Alewife Brook Pkwy,,"Cambridge, MA 02140",,2,Alewife Brook Pkwy,,,Cambridge,MA,,Middlesex County,02140,US,,TIGER/Line® from the US Census Bureau,gcod_usnun9sr6g5javg97xqex6bq3n9a4,
"85 Alewife Brook Pkwy, Somerville MA",Alewife Brook Pkwy,85,WEST SOMERVILLE,2,499,42.406394,-71.134155,1,range_interpolation,85 Alewife Brook Pkwy,,"Somerville, MA 02144",,85,Alewife Brook Pkwy,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usn2ay7yurk5cbmb6a8vqpjm35rme,
"168 Alewife Brook Pkwy, Somerville MA",Alewife Brook Pkwy,168,WEST SOMERVILLE,2,499,42.407804,-71.132124,1,range_interpolation,168 Alewife Brook Pkwy,,"Somerville, MA 02144",,168,Alewife Brook Pkwy,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usn2ay7yurk5cbmb8slvhf5mmvmdg,
"250 Alewife Brook Pkwy, Somerville MA",Alewife Brook Pkwy,250,WEST SOMERVILLE,2,499,42.410107,-71.130555,1,range_interpolation,250 Alewife Brook Pkwy,,"Somerville, MA 02144",,250,Alewife Brook Pkwy,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usn2ay7yurk5cbmb8s4zd5ma8jgvc,
"333 Alewife Brook Pkwy, Somerville MA",Alewife Brook Pkwy,333,WEST SOMERVILLE,2,499,42.411178,-71.130623,1,rooftop,333 Alewife Brook Pkwy,,"Somerville, MA 02144",,333,Alewife Brook Pkwy,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn2ay7yurk5cbmbwyqnvm5e8kzrh,building_centroid
"416 Alewife Brook Pkwy, Somerville MA",Alewife Brook Pkwy,416,WEST SOMERVILLE,2,499,42.414003,-71.131074,1,range_interpolation,416 Alewife Brook Pkwy,,"Somerville, MA 02144",,416,Alewife Brook Pkwy,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usn2ay7yurk5cbmbfjalsgr9ekdyg,
"499 Alewife Brook Pkwy, Somerville MA",Alewife Brook Pkwy,499,WEST SOMERVILLE,2,499,42.414149,-71.129872,0.81,nearest_rooftop_match,405 Alewife Brook Pkwy,,"Somerville, MA 02144",,405,Alewife Brook Pkwy,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn2ay7yurk5cbmby9zhrtkqng7fh,building_centroid
"1 Bailey Street, Somerville MA",Bailey Street,1,WEST SOMERVILLE,1,99,42.409526,-71.127569,0.89,nearest_rooftop_match,11 Bailey St,,"Somerville, MA 02144",,11,Bailey St,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnxrypuw4gt8akhrj2tsqczvqnc6,building_centroid
"26 Bailey Street, Somerville MA",Bailey Street,26,WEST SOMERVILLE,1,99,42.409457,-71.128415,1,rooftop,26 Bailey St,,"Somerville, MA 02144",,26,Bailey St,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnxrypuw4gt8akhmn7k262ygtygf,building_centroid
"50 Bailey Street, Somerville MA",Bailey Street,50,WEST SOMERVILLE,1,99,42.409726,-71.128201,1,range_interpolation,50 Bailey St,,"Somerville, MA 02144",,50,Bailey St,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usnxrypuw4gt8akhfrqgxglyyda82,
"74 Bailey Street, Somerville MA",Bailey Street,74,WEST SOMERVILLE,1,99,42.409798,-71.12844,1,range_interpolation,74 Bailey St,,"Somerville, MA 02144",,74,Bailey St,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usnxrypuw4gt8akhw8hrbd6tqhemh,
"99 Bailey Street, Somerville MA",Bailey Street,99,WEST SOMERVILLE,1,99,42.396756,-71.089093,0.95,rooftop,99 Bailey Rd,,"Somerville, MA 02145",,99,Bailey Rd,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usndske9ecyvqdtcefd8cy7vp7pd5,building_centroid
"1 Barton Street, Somerville MA",Barton Street,1,WEST SOMERVILLE,1,99,42.40584,-71.13072,0.89,nearest_rooftop_match,4 Barton St,,"Somerville, MA 02144",,4,Barton St,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnq8u87fqmx7wn8dcqb2nbztzav6,building_centroid
"26 Barton Street, Somerville MA",Barton Street,26,WEST SOMERVILLE,1,99,42.406341,-71.130379,1,rooftop,26 Barton St,,"Somerville, MA 02144",,26,Barton St,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnq8u87fqmx7wn8h3hxv9pf6nybe,building_centroid
"50 Barton Street, Somerville MA",Barton Street,50,WEST SOMERVILLE,1,99,42.405955,-71.130221,1,range_interpolation,50 Barton St,,"Somerville, MA 02144",,50,Barton St,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usnq8u87fqmx7wn8xg7ndp72um3t5,
