address,street,school
"Alewife Brook Pkwy, Somerville MA 02144",Alewife Brook Pkwy,WEST SOMERVILLE
"Bailey Street, Somerville MA 02144",Bailey Street,WEST SOMERVILLE
"Barton Street, Somerville MA 02144",Barton Street,WEST SOMERVILLE
"Belknap Street, Somerville MA 02144",Belknap Street,WEST SOMERVILLE
"Billingham Street, Somerville MA 02144",Billingham Street,WEST SOMERVILLE
"Boston Avenue 176-193, Somerville MA 02144",Boston Avenue 176-193,WEST SOMERVILLE
"Broadway 727-End, Somerville MA 02144",Broadway 727-End,WEST SOMERVILLE
"Bromfield Road, Somerville MA 02144",Bromfield Road,WEST SOMERVILLE
"Burnham Street, Somerville MA 02144",Burnham Street,WEST SOMERVILLE
"Cady Avenue, Somerville MA 02144",Cady Avenue,WEST SOMERVILLE
"Cameron Avenue, Somerville MA 02144",Cameron Avenue,WEST SOMERVILLE
"Campbell Park, Somerville MA 02144",Campbell Park,WEST SOMERVILLE
"Campbell Park Place, Somerville MA 02144",Campbell Park Place,WEST SOMERVILLE
"Capen Court, Somerville MA 02144",Capen Court,WEST SOMERVILLE
"Capen Street, Somerville MA 02144",Capen Street,WEST SOMERVILLE
"Chandler Street, Somerville MA 02144",Chandler Street,WEST SOMERVILLE
"Chapel Street, Somerville MA 02144",Chapel Street,WEST SOMERVILLE
"Chetwynd Road, Somerville MA 02144",Chetwynd Road,WEST SOMERVILLE
"Clarendon Avenue, Somerville MA 02144",Clarendon Avenue,WEST SOMERVILLE
"Claremon Street, Somerville MA 02144",Claremon Street,WEST SOMERVILLE
"College Avenue 145-245, Somerville MA 02144",College Avenue 145-245,WEST SOMERVILLE
"College Hill Road, Somerville MA 02144",College Hill Road,WEST SOMERVILLE
"Conwell Avenue, Somerville MA 02144",Conwell Avenue,WEST SOMERVILLE
"Corinthian Road, Somerville MA 02144",Corinthian Road,WEST SOMERVILLE
"Curtis Avenue, Somerville MA 02144",Curtis Avenue,WEST SOMERVILLE
"Curtis Street, Somerville MA 02144",Curtis Street,WEST SOMERVILLE
"Davis Square, Somerville MA 02144",Davis Square,WEST SOMERVILLE
"Day Street, Somerville MA 02144",Day Street,WEST SOMERVILLE
"Dearborn Road, Somerville MA 02144",Dearborn Road,WEST SOMERVILLE
"Dickson Street, Somerville MA 02144",Dickson Street,WEST SOMERVILLE
"Dover Street, Somerville MA 02144",Dover Street,WEST SOMERVILLE
"Dow Street, Somerville MA 02144",Dow Street,WEST SOMERVILLE
"Electric Avenue, Somerville MA 02144",Electric Avenue,WEST SOMERVILLE
"Elmwood Street, Somerville MA 02144",Elmwood Street,WEST SOMERVILLE
"Elmwood Terrace, Somerville MA 02144",Elmwood Terrace,WEST SOMERVILLE
"Endicott Avenue, Somerville MA 02144",Endicott Avenue,WEST SOMERVILLE
"Fairfax Street, Somerville MA 02144",Fairfax Street,WEST SOMERVILLE
"Fairmount Avenue, Somerville MA 02144",Fairmount Avenue,WEST SOMERVILLE
