address,street,school,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"Alewife Brook Pkwy, Somerville MA 02144","Alewife Brook Pkwy","WEST SOMERVILLE",42.405883,-71.134227,1,street_center,"Alewife Brook Pkwy",,"Somerville, MA 02144",,,"Alewife Brook Pkwy",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_uss2ay7yurk5cbmb,
"Bailey Street, Somerville MA 02144","Bailey Street","WEST SOMERVILLE",42.40961,-71.128334,1,street_center,"Bailey St",,"Somerville, MA 02144",,,"Bailey St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussxrypuw4gt8akh,
"Barton Street, Somerville MA 02144","Barton Street","WEST SOMERVILLE",42.40604,-71.130345,1,street_center,"Barton St",,"Somerville, MA 02144",,,"Barton St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussq8u87fqmx7wn8,
"Belknap Street, Somerville MA 02144","Belknap Street","WEST SOMERVILLE",42.405717,-71.129737,1,street_center,"Belknap St",,"Somerville, MA 02144",,,"Belknap St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_uss2lpjqnhqmskx4,
"Billingham Street, Somerville MA 02144","Billingham Street","WEST SOMERVILLE",42.399674,-71.120109,1,street_center,"Billingham St",,"Somerville, MA 02144",,,"Billingham St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussrqdymhl7g8eh2,
"Boston Avenue 176-193, Somerville MA 02144","Boston Avenue 176-193","WEST SOMERVILLE",42.399655,-71.12255,1,place,,,"Somerville, MA 02144",,,,,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",,
"Broadway 727-End, Somerville MA 02144","Broadway 727-End","WEST SOMERVILLE",42.456118,-71.276474,0.63,nearest_rooftop_match,"7 Ent Rd",,"Hanscom AFB, MA 01731",,7,"Ent Rd",,,"Hanscom AFB",MA,,"Middlesex County",01731,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnzdft5ybj5hbhdcbfcedn8akknf,building_centroid
"Bromfield Road, Somerville MA 02144","Bromfield Road","WEST SOMERVILLE",42.403127,-71.116272,1,street_center,"Bromfield Rd",,"Somerville, MA 02144",,,"Bromfield Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_uss53gy5kayfs9qd,
"Burnham Street, Somerville MA 02144","Burnham Street","WEST SOMERVILLE",42.402092,-71.121216,1,street_center,"Burnham St",,"Somerville, MA 02144",,,"Burnham St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussu6y5ht33qsb7d,
"Cady Avenue, Somerville MA 02144","Cady Avenue","WEST SOMERVILLE",42.4001,-71.123932,1,street_center,"Cady Ave",,"Somerville, MA 02144",,,"Cady Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussddjzjph9y2rp3,
