address,street,point
"5 Albion Street, Somerville MA 02145",Albion Street 5-90,start
"90 Albion Street, Somerville MA 02145",Albion Street 5-90,end
"67 Benton Road, Somerville MA 02145",Benton Road 67-85,start
"85 Benton Road, Somerville MA 02145",Benton Road 67-85,end
"254 Broadway, Somerville MA 02145",Broadway 254-514 even,start
"514 Broadway, Somerville MA 02145",Broadway 254-514 even,end
"85 Central Street, Somerville MA 02145",Central Street 85-197,start
"197 Central Street, Somerville MA 02145",Central Street 85-197,end
"85 Centre Street, Somerville MA 02145",Centre Street 85-200,start
"200 Centre Street, Somerville MA 02145",Centre Street 85-200,end
"1 Hudson Street, Somerville MA 02145",Hudson Street 1-92,start
"92 Hudson Street, Somerville MA 02145",Hudson Street 1-92,end
"235 Lowell Street, Somerville MA 02145",Lowell Street 235-366,start
"366 Lowell Street, Somerville MA 02145",Lowell Street 235-366,end
"255 Medford Street, Somerville MA 02145",Medford Street 255-515,start
"515 Medford Street, Somerville MA 02145",Medford Street 255-515,end
"1 Oxford Street, Somerville MA 02145",Oxford Street 1-98,start
"98 Oxford Street, Somerville MA 02145",Oxford Street 1-98,end
"214 Pearl Street, Somerville MA 02145",Pearl Street 214-247,start
"247 Pearl Street, Somerville MA 02145",Pearl Street 214-247,end
"121 School Street, Somerville MA 02145",School Street 121-End,start
"200 School Street, Somerville MA 02145",School Street 121-End,end
"101 Walnut Street, Somerville MA 02145",Walnut Street 101-185,start
"185 Walnut Street, Somerville MA 02145",Walnut Street 101-185,end
"Adams Street, Somerville MA 02145",Adams Street,mid
"Ames Street, Somerville MA 02145",Ames Street,mid
"Bartlett Street, Somerville MA 02145",Bartlett Street,mid
"Berwick Street, Somerville MA 02145",Berwick Street,mid
"Bradford Avenue, Somerville MA 02145",Bradford Avenue,mid
"Bradley Street, Somerville MA 02145",Bradley Street,mid
"Browning Road, Somerville MA 02145",Browning Road,mid
"Cambria Street, Somerville MA 02145",Cambria Street,mid
"Central Road, Somerville MA 02145",Central Road,mid
"Charles E Ryan Road, Somerville MA 02145",Charles E Ryan Road,mid
"Charles Ryan Road, Somerville MA 02145",Charles Ryan Road,mid
"13 Cutler Street, Somerville MA 02145",Cutler Street 12-14,mid
"Dartmouth Street, Somerville MA 02145",Dartmouth Street,mid
"Direnzo Terrace, Somerville MA 02145",Direnzo Terrace,mid
"0 Downer Street, Somerville MA 02145",Downer Street,mid
"Essex Street, Somerville MA 02145",Essex Street,mid
"Evergreen Avenue, Somerville MA 02145",Evergreen Avenue,mid
"Fairview Terrace, Somerville MA 02145",Fairview Terrace,mid
"Fennell Street, Somerville MA 02145",Fennell Street,mid
"Fisk Avenue, Somerville MA 02145",Fisk Avenue,mid
"Forster Street, Somerville MA 02145",Forster Street,mid
