address,street,point,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"5 Albion Street, Somerville MA 02145","Albion Street 5-90",start,42.399122,-71.095975,1,range_interpolation,"5 E Albion St",,"Somerville, MA 02145",,5,"E Albion St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usnh58trxtyw5nr4n7kyqbfkc35gg,
"90 Albion Street, Somerville MA 02145","Albion Street 5-90",end,42.391175,-71.107125,1,rooftop,"90 Albion St",,"Somerville, MA 02143",,90,"Albion St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnppxvq4y86p8x32shs944sb2ng5,building_centroid
"67 Benton Road, Somerville MA 02145","Benton Road 67-85",start,42.389159,-71.104942,1,rooftop,"67 Benton Rd",,"Somerville, MA 02143",,67,"Benton Rd",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn9avyb5ymps94aud6cb62ker373,building_centroid
"85 Benton Road, Somerville MA 02145","Benton Road 67-85",end,42.389688,-71.10461,1,rooftop,"85 Benton Rd",,"Somerville, MA 02143",,85,"Benton Rd",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn9avyb5ymps94aqdypgwbzxxwp4,building_centroid
"254 Broadway, Somerville MA 02145","Broadway 254-514 even",start,42.391087,-71.090533,1,range_interpolation,"254 Broadway",,"Somerville, MA 02145",,254,Broadway,,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usn7nf8e4zglqcw7jt7dmr4w6bvtd,
"514 Broadway, Somerville MA 02145","Broadway 254-514 even",end,42.397542,-71.105592,1,rooftop,"514 Broadway",,"Somerville, MA 02145",,514,Broadway,,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn7nf8e4zglqcw7tvdmxbgp223q8,building_centroid
"85 Central Street, Somerville MA 02145","Central Street 85-197",start,42.388578,-71.103077,1,rooftop,"85 Central St",,"Somerville, MA 02143",,85,"Central St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnugj7n9ua5q7j8u6j34xu4srqc7,building_centroid
"197 Central Street, Somerville MA 02145","Central Street 85-197",end,42.394216,-71.099546,1,range_interpolation,"197 Central St",,"Somerville, MA 02145",,197,"Central St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usnb3lxhcsnqjq2gpnjlepsaw87td,
"85 Centre Street, Somerville MA 02145","Centre Street 85-200",start,42.391049,-71.104613,1,range_interpolation,"85 Centre St",,"Somerville, MA 02143",,85,"Centre St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnlhdmzx8e4b2t3qkblzhlfrvf37,
"200 Centre Street, Somerville MA 02145","Centre Street 85-200",end,42.425747,-71.073071,0.95,range_interpolation,"200 Centre St",,"Malden, MA 02148",,200,"Centre St",,,Malden,MA,,"Middlesex County",02148,US,,"TIGER/Line® from the US Census Bureau",gcod_usnxnffcuynmhjsh26usr4nmvygt9,
