address,street,num,school,range_low,range_high
"1 Adams Street, Somerville MA",Adams Street,1,WINTER HILL,1,99
"26 Adams Street, Somerville MA",Adams Street,26,WINTER HILL,1,99
"50 Adams Street, Somerville MA",Adams Street,50,WINTER HILL,1,99
"74 Adams Street, Somerville MA",Adams Street,74,WINTER HILL,1,99
"99 Adams Street, Somerville MA",Adams Street,99,WINTER HILL,1,99
"1 Ames Street, Somerville MA",Ames Street,1,WINTER HILL,1,99
"26 Ames Street, Somerville MA",Ames Street,26,WINTER HILL,1,99
"50 Ames Street, Somerville MA",Ames Street,50,WINTER HILL,1,99
"74 Ames Street, Somerville MA",Ames Street,74,WINTER HILL,1,99
"99 Ames Street, Somerville MA",Ames Street,99,WINTER HILL,1,99
"1 Bartlett Street, Somerville MA",Bartlett Street,1,WINTER HILL,1,199
"34 Bartlett Street, Somerville MA",Bartlett Street,34,WINTER HILL,1,199
"67 Bartlett Street, Somerville MA",Bartlett Street,67,WINTER HILL,1,199
"100 Bartlett Street, Somerville MA",Bartlett Street,100,WINTER HILL,1,199
"133 Bartlett Street, Somerville MA",Bartlett Street,133,WINTER HILL,1,199
"166 Bartlett Street, Somerville MA",Bartlett Street,166,WINTER HILL,1,199
"199 Bartlett Street, Somerville MA",Bartlett Street,199,WINTER HILL,1,199
"1 Berwick Street, Somerville MA",Berwick Street,1,WINTER HILL,1,99
"26 Berwick Street, Somerville MA",Berwick Street,26,WINTER HILL,1,99
"50 Berwick Street, Somerville MA",Berwick Street,50,WINTER HILL,1,99
"74 Berwick Street, Somerville MA",Berwick Street,74,WINTER HILL,1,99
"99 Berwick Street, Somerville MA",Berwick Street,99,WINTER HILL,1,99
"1 Bradford Avenue, Somerville MA",Bradford Avenue,1,WINTER HILL,1,99
"26 Bradford Avenue, Somerville MA",Bradford Avenue,26,WINTER HILL,1,99
"50 Bradford Avenue, Somerville MA",Bradford Avenue,50,WINTER HILL,1,99
"74 Bradford Avenue, Somerville MA",Bradford Avenue,74,WINTER HILL,1,99
"99 Bradford Avenue, Somerville MA",Bradford Avenue,99,WINTER HILL,1,99
"1 Bradley Street, Somerville MA",Bradley Street,1,WINTER HILL,1,99
"26 Bradley Street, Somerville MA",Bradley Street,26,WINTER HILL,1,99
"50 Bradley Street, Somerville MA",Bradley Street,50,WINTER HILL,1,99
"74 Bradley Street, Somerville MA",Bradley Street,74,WINTER HILL,1,99
"99 Bradley Street, Somerville MA",Bradley Street,99,WINTER HILL,1,99
"1 Browning Road, Somerville MA",Browning Road,1,WINTER HILL,1,99
"26 Browning Road, Somerville MA",Browning Road,26,WINTER HILL,1,99
"50 Browning Road, Somerville MA",Browning Road,50,WINTER HILL,1,99
"74 Browning Road, Somerville MA",Browning Road,74,WINTER HILL,1,99
"99 Browning Road, Somerville MA",Browning Road,99,WINTER HILL,1,99
"1 Cambria Street, Somerville MA",Cambria Street,1,WINTER HILL,1,99
"26 Cambria Street, Somerville MA",Cambria Street,26,WINTER HILL,1,99
"50 Cambria Street, Somerville MA",Cambria Street,50,WINTER HILL,1,99
"74 Cambria Street, Somerville MA",Cambria Street,74,WINTER HILL,1,99
"99 Cambria Street, Somerville MA",Cambria Street,99,WINTER HILL,1,99
"1 Central Road, Somerville MA",Central Road,1,WINTER HILL,1,99
"26 Central Road, Somerville MA",Central Road,26,WINTER HILL,1,99
"50 Central Road, Somerville MA",Central Road,50,WINTER HILL,1,99
"74 Central Road, Somerville MA",Central Road,74,WINTER HILL,1,99
"99 Central Road, Somerville MA",Central Road,99,WINTER HILL,1,99
"1 Charles E Ryan Road, Somerville MA",Charles E Ryan Road,1,WINTER HILL,1,99
"26 Charles E Ryan Road, Somerville MA",Charles E Ryan Road,26,WINTER HILL,1,99
"50 Charles E Ryan Road, Somerville MA",Charles E Ryan Road,50,WINTER HILL,1,99
"74 Charles E Ryan Road, Somerville MA",Charles E Ryan Road,74,WINTER HILL,1,99
"99 Charles E Ryan Road, Somerville MA",Charles E Ryan Road,99,WINTER HILL,1,99
"1 Dartmouth Street, Somerville MA",Dartmouth Street,1,WINTER HILL,1,99
"26 Dartmouth Street, Somerville MA",Dartmouth Street,26,WINTER HILL,1,99
"50 Dartmouth Street, Somerville MA",Dartmouth Street,50,WINTER HILL,1,99
"74 Dartmouth Street, Somerville MA",Dartmouth Street,74,WINTER HILL,1,99
"99 Dartmouth Street, Somerville MA",Dartmouth Street,99,WINTER HILL,1,99
"1 Direnzo Terrace, Somerville MA",Direnzo Terrace,1,WINTER HILL,1,99
"26 Direnzo Terrace, Somerville MA",Direnzo Terrace,26,WINTER HILL,1,99
"50 Direnzo Terrace, Somerville MA",Direnzo Terrace,50,WINTER HILL,1,99
"74 Direnzo Terrace, Somerville MA",Direnzo Terrace,74,WINTER HILL,1,99
"99 Direnzo Terrace, Somerville MA",Direnzo Terrace,99,WINTER HILL,1,99
"1 Essex Street, Somerville MA",Essex Street,1,WINTER HILL,1,99
"26 Essex Street, Somerville MA",Essex Street,26,WINTER HILL,1,99
"50 Essex Street, Somerville MA",Essex Street,50,WINTER HILL,1,99
"74 Essex Street, Somerville MA",Essex Street,74,WINTER HILL,1,99
"99 Essex Street, Somerville MA",Essex Street,99,WINTER HILL,1,99
"1 Evergreen Avenue, Somerville MA",Evergreen Avenue,1,WINTER HILL,1,99
"26 Evergreen Avenue, Somerville MA",Evergreen Avenue,26,WINTER HILL,1,99
"50 Evergreen Avenue, Somerville MA",Evergreen Avenue,50,WINTER HILL,1,99
"74 Evergreen Avenue, Somerville MA",Evergreen Avenue,74,WINTER HILL,1,99
"99 Evergreen Avenue, Somerville MA",Evergreen Avenue,99,WINTER HILL,1,99
"1 Fairview Terrace, Somerville MA",Fairview Terrace,1,WINTER HILL,1,99
"26 Fairview Terrace, Somerville MA",Fairview Terrace,26,WINTER HILL,1,99
"50 Fairview Terrace, Somerville MA",Fairview Terrace,50,WINTER HILL,1,99
"74 Fairview Terrace, Somerville MA",Fairview Terrace,74,WINTER HILL,1,99
"99 Fairview Terrace, Somerville MA",Fairview Terrace,99,WINTER HILL,1,99
"1 Fennell Street, Somerville MA",Fennell Street,1,WINTER HILL,1,99
"26 Fennell Street, Somerville MA",Fennell Street,26,WINTER HILL,1,99
"50 Fennell Street, Somerville MA",Fennell Street,50,WINTER HILL,1,99
