address,street,num,school,range_low,range_high,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"1 Adams Street, Somerville MA","Adams Street",1,"WINTER HILL",1,99,42.393321,-71.100881,0.94,nearest_rooftop_match,"3 Adams St",,"Somerville, MA 02145",,3,"Adams St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn8vkgtyraadvjgsq5e3a8atc5b2,building_centroid
"26 Adams Street, Somerville MA","Adams Street",26,"WINTER HILL",1,99,42.394197,-71.10086,1,rooftop,"26 Adams St",,"Somerville, MA 02145",,26,"Adams St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn8vkgtyraadvjg6vf73xdnjtxle,building_centroid
"50 Adams Street, Somerville MA","Adams Street",50,"WINTER HILL",1,99,42.394384,-71.10024,1,range_interpolation,"50 Adams St",,"Somerville, MA 02145",,50,"Adams St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usn8vkgtyraadvjgsx6gywk7f7jsa,
"74 Adams Street, Somerville MA","Adams Street",74,"WINTER HILL",1,99,42.394969,-71.099846,1,range_interpolation,"74 Adams St",,"Somerville, MA 02145",,74,"Adams St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usn8vkgtyraadvjgv2ge7r7v9bwu6,
"99 Adams Street, Somerville MA","Adams Street",99,"WINTER HILL",1,99,42.409705,-71.127101,1,rooftop,"99 W Adams St",,"Somerville, MA 02144",,99,"W Adams St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnd3lxg7ma9uxp47hzbc7nakm99a,building_centroid
"1 Ames Street, Somerville MA","Ames Street",1,"WINTER HILL",1,99,42.39226,-71.101484,0.89,nearest_rooftop_match,"7 Ames St",,"Somerville, MA 02145",,7,"Ames St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn2gqexynmbrjygthhag37pwbze6,building_centroid
"26 Ames Street, Somerville MA","Ames Street",26,"WINTER HILL",1,99,42.392479,-71.102122,1,range_interpolation,"26 Ames St",,"Somerville, MA 02145",,26,"Ames St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usn2gqexynmbrjygtaggrulap6nzh,
"50 Ames Street, Somerville MA","Ames Street",50,"WINTER HILL",1,99,42.392616,-71.102235,1,range_interpolation,"50 Ames St",,"Somerville, MA 02145",,50,"Ames St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usn2gqexynmbrjyg6dv59zju22u6b,
"74 Ames Street, Somerville MA","Ames Street",74,"WINTER HILL",1,99,42.392813,-71.102403,1,range_interpolation,"74 Ames St",,"Somerville, MA 02145",,74,"Ames St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usn2gqexynmbrjyghv6r23gwdx9fg,
"99 Ames Street, Somerville MA","Ames Street",99,"WINTER HILL",1,99,42.362608,-71.088207,0.85,range_interpolation,"99 Ames St",,"Cambridge, MA 02142",,99,"Ames St",,,Cambridge,MA,,"Middlesex County",02142,US,,"TIGER/Line® from the US Census Bureau",gcod_usnp7gg7974mb8u77dsuvv2jajkta,
