address,street,school,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"Adams Street, Somerville MA 02145","Adams Street","WINTER HILL",42.394234,-71.100513,1,street_center,"Adams St",,"Somerville, MA 02145",,,"Adams St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss8vkgtyraadvjg,
"Albion Street 5-90, Somerville MA 02145","Albion Street 5-90","WINTER HILL",42.391046,-71.095146,1,place,,,"Somerville, MA 02145",,,,,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",,
"Ames Street, Somerville MA 02145","Ames Street","WINTER HILL",42.392634,-71.102447,1,street_center,"Ames St",,"Somerville, MA 02145",,,"Ames St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss2gqexynmbrjyg,
"Bartlett Street, Somerville MA 02145","Bartlett Street","WINTER HILL",42.39246,-71.103021,1,street_center,"Bartlett St",,"Somerville, MA 02145",,,"Bartlett St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss5v4kr9gwjrff6,
"Benton Road 67-85, Somerville MA 02145","Benton Road 67-85","WINTER HILL",42.391046,-71.095146,1,place,,,"Somerville, MA 02145",,,,,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",,
"Berwick Street, Somerville MA 02145","Berwick Street","WINTER HILL",42.39516,-71.106985,1,street_center,"Berwick St",,"Somerville, MA 02145",,,"Berwick St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussb3hf99qk49nj8,
"Bradford Avenue, Somerville MA 02145","Bradford Avenue","WINTER HILL",42.392463,-71.094622,1,street_center,"Bradford Ave",,"Somerville, MA 02145",,,"Bradford Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss7252a4k25tg5a,
"Bradley Street, Somerville MA 02145","Bradley Street","WINTER HILL",42.387907,-71.094695,1,street_center,"Bradley St",,"Somerville, MA 02145",,,"Bradley St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussmwlmub5c7bh82,
"Broadway 254-514 even, Somerville MA 02145","Broadway 254-514 even","WINTER HILL",42.398926,-71.128868,0.77,street_center,"7 Pines Ave",,"Somerville, MA 02144",,,"7 Pines Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussdq4mzyp7uz9me,
"Browning Road, Somerville MA 02145","Browning Road","WINTER HILL",42.393918,-71.098761,1,street_center,"Browning Rd",,"Somerville, MA 02145",,,"Browning Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussg8262y6z92mqc,
